chrom	start	end	target_gene	tss_start	tss_end	gene_length	brain_prefrontal_cortex	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	8377885	8404227	ENSG00000162426	8377884	8377885	26342	7.7	1	0.11791702662118138	0.0	0.0	0.745	0.0	78.0	0.3513124974441099	17.0	32306.0	3728.0	0.21794871794871795	0.11539652077013558
chr1	8412456	8877702	ENSG00000142599	8412455	8412456	465246	30.4	1	0.05904072753930298	0.0	1.0	0.12	0.0	78.0	0.3513124974441099	17.0	32306.0	3728.0	0.21794871794871795	0.11539652077013558
chr1	8921060	8939308	ENSG00000074800	8921059	8921060	18248	497.3	1	0.01458383680138749	0.0	0.0	0.864	1.0	88.0	0.555846829779559	33.0	31672.0	2927.0	0.375	0.09241601414498611
chr1	9294833	9331396	ENSG00000049239	9294832	9294833	36563	3.8	1	0.11535779670473015	0.0	0.0	0.941	0.0	86.0	0.45126942124027297	24.0	33679.0	2663.0	0.27906976744186046	0.0790700436473767
chr1	9352938	9429591	ENSG00000171621	9352937	9352938	76653	3.7	1	0.08178002888575657	0.0	0.0	0.594	0.0	86.0	0.45126942124027297	24.0	33679.0	2663.0	0.27906976744186046	0.0790700436473767
chr1	9599540	9645237	ENSG00000171612	9599539	9599540	45697	9.1	1	0.1096472926809236	0.0	0.0	0.825	0.0	86.0	0.45126942124027297	24.0	33679.0	2663.0	0.27906976744186046	0.0790700436473767
chr1	9711789	9789172	ENSG00000171608	9711788	9711789	77383	5.4	1	0.15767955545172044	0.0	1.0	0.196	0.0	45.0	0.730310828027504	30.0	15478.0	1628.0	0.6666666666666666	0.10518154800361804
chr1	9789083	9884584	ENSG00000171603	9789082	9789083	95501	165.4	1	0.10281529927715907	0.0	1.0	0.308	0.0	45.0	0.730310828027504	30.0	15478.0	1628.0	0.6666666666666666	0.10518154800361804
chr1	9982172	10003465	ENSG00000162441	9982171	9982172	21293	12.3	1	0.01610787477627696	0.0	0.0	1.14	0.0	54.0	0.6483067106070415	28.0	20630.0	2317.0	0.5185185185185185	0.11231216674745516
chr1	10003485	10045559	ENSG00000173614	10003484	10003485	42074	3.0	1	0.03954068247985031	0.0	0.0	0.877	0.0	54.0	0.6483067106070415	28.0	20630.0	2317.0	0.5185185185185185	0.11231216674745516
chr1	10057263	10076078	ENSG00000162444	10057262	10057263	18815	4.8	1	0.18797226467066155	0.0	0.0	0.732	0.0	54.0	0.6483067106070415	28.0	20630.0	2317.0	0.5185185185185185	0.11231216674745516
chr1	10092889	10241297	ENSG00000130939	10092888	10092889	148408	7.3	1	0.05707837884751232	1.0	1.0	0.157	0.0	61.0	0.6401929618782768	31.0	23611.0	2625.0	0.5081967213114754	0.11117699377408835
chr1	10270862	10441661	ENSG00000054523	10270861	10270862	170799	57.5	1	0.2099452749424318	0.0	1.0	0.171	0.0	44.0	0.5362242752671974	18.0	18037.0	2954.0	0.4090909090909091	0.16377446360259468
chr1	14925199	15444539	ENSG00000189337	14925198	14925199	519340	24.0	1	0.16572770054075014	0.0	0.0	0.381	0.0	38.0	0.9018176818862224	35.0	13091.0	1195.0	0.9210526315789473	0.09128408830494232
chr1	15943994	15995539	ENSG00000197312	15943993	15943994	51545	3.3	1	0.08322525021923176	0.0	1.0	0.208	1.0	10.0	0.7235892054432996	6.0	3974.0	430.0	0.6	0.10820332159033719
chr1	15986363	15988217	ENSG00000215695	15986362	15986363	1854	0.1	0	0.25158745769912005	1.0	0.0	1.522	0.0	10.0	0.7235892054432996	6.0	3974.0	430.0	0.6	0.10820332159033719
chr1	16268363	16302627	ENSG00000116809	16268362	16268363	34264	17.2	1	0.007685736075891235	1.0	1.0	0.309	1.0	47.0	0.6180445430963979	25.0	19214.0	4736.0	0.5319148936170213	0.2464869366087228
chr1	16573333	16678949	ENSG00000037637	16573332	16573333	105616	10.5	1	0.013987202434530341	1.0	1.0	0.274	0.0	12.0	0.3997004209832626	1.0	4488.0	1685.0	0.08333333333333333	0.37544563279857396
chr1	16679069	16724640	ENSG00000055070	16679068	16679069	45571	18.7	1	0.025758478194814804	1.0	0.0	0.672	0.0	12.0	0.3997004209832626	1.0	4488.0	1685.0	0.08333333333333333	0.37544563279857396
chr1	19230774	19283180	ENSG00000169991	19230773	19230774	52406	6.0	1	0.04579335389665255	0.0	0.0	0.42	0.0	57.0	0.5751799203362216	26.0	24134.0	4453.0	0.45614035087719296	0.18451147758349218
chr1	19400999	19536770	ENSG00000127481	19400998	19400999	135771	29.3	1	0.02221019611099524	0.0	1.0	0.095	1.0	57.0	0.5751799203362216	26.0	24134.0	4453.0	0.45614035087719296	0.18451147758349218
chr1	19923476	19956314	ENSG00000173436	19923475	19923476	32838	10.9	1	0.04258459524331211	1.0	0.0	0.584	0.0	99.0	0.3246995017968558	10.0	43173.0	2881.0	0.10101010101010101	0.06673152201607487
chr1	19967047	19984945	ENSG00000158747	19967046	19967047	17898	123.6	1	0.14015894486695946	0.0	0.0	1.023	0.0	99.0	0.3246995017968558	10.0	43173.0	2881.0	0.10101010101010101	0.06673152201607487
chr1	20438431	20446050	ENSG00000117215	20438430	20438431	7619	0.0	0	0.3874819248405741	0.0	0.0	1.786	0.0	14.0	0.7658605877460898	9.0	4933.0	155.0	0.6428571428571429	0.03142104196229475
chr1	20487745	20503917	ENSG00000187980	20487744	20487745	16172	0.0	0	0.6535360832378236	0.0	0.0	1.218	0.0	14.0	0.7658605877460898	9.0	4933.0	155.0	0.6428571428571429	0.03142104196229475
chr1	20617411	20681387	ENSG00000158816	20617410	20617411	63976	0.0	0	0.8346636346178993	0.0	0.0	1.272	0.0	16.0	0.9277337934205281	15.0	5532.0	487.0	0.9375	0.08803326102675343
chr1	21132962	21503377	ENSG00000075151	21132961	21132962	370415	17.5	1	0.025762731429332563	1.0	1.0	0.112	0.0	4.0	0.8131945659226965	3.0	922.0	156.0	0.75	0.16919739696312364
chr1	22004790	22110099	ENSG00000090686	22004789	22004790	105309	16.6	1	0.008088395921633915	0.0	1.0	0.161	0.0	22.0	0.7701691146696116	17.0	9330.0	1353.0	0.7727272727272727	0.145016077170418
chr1	23410515	23504301	ENSG00000169641	23410514	23410515	93786	1.3	1	0.054323145428416084	0.0	0.0	0.402	0.0	26.0	0.6481693684554237	15.0	11504.0	2295.0	0.5769230769230769	0.19949582753824757
chr1	23516992	23521222	ENSG00000179546	23516991	23516992	4230	0.0	0	0.6535360832378236	0.0	0.0	1.296	0.0	26.0	0.6481693684554237	15.0	11504.0	2295.0	0.5769230769230769	0.19949582753824757
chr1	23884408	23886285	ENSG00000117318	23884407	23884408	1877	23.9	1	0.04834788799417868	0.0	0.0	0.709	0.0	25.0	0.46600038817142114	8.0	9864.0	1576.0	0.32	0.1597729115977291
chr1	24645811	24690972	ENSG00000158055	24645810	24645811	45161	0.0	0	0.8346636346178993	0.0	1.0	0.277	0.0	11.0	0.6217897512611406	6.0	4695.0	214.0	0.5454545454545454	0.045580404685836
chr1	24683488	24743424	ENSG00000001460	24683487	24683488	59936	8.8	1	0.0572567126063331	0.0	0.0	1.339	0.0	11.0	0.6217897512611406	6.0	4695.0	214.0	0.5454545454545454	0.045580404685836
chr1	24829386	24867530	ENSG00000117602	24829385	24829386	38144	0.9	0	0.07967952413474128	0.0	0.0	1.313	0.0	10.0	0.8292525695901659	8.0	5224.0	452.0	0.8	0.08652373660030628
chr1	25226001	25291612	ENSG00000020633	25226000	25226001	65611	0.4	0	0.2694343514159967	0.0	0.0	0.424	0.0	4.0	0.7409283593432245	3.0	872.0	61.0	0.75	0.06995412844036697
chr1	25943958	26112698	ENSG00000117643	25943957	25943958	168740	16.5	1	0.04358991749474712	0.0	0.0	0.434	0.0	91.0	0.6656989734726428	50.0	35109.0	2299.0	0.5494505494505495	0.06548178529721724
chr1	26286257	26324648	ENSG00000158006	26286256	26286257	38391	2.0	1	0.11371882885611022	0.0	0.0	1.113	0.0	75.0	0.6644354010207318	40.0	33408.0	5909.0	0.5333333333333333	0.17687380268199235
chr1	26346374	26362955	ENSG00000158008	26346373	26346374	16581	25.7	1	0.3220681743865335	0.0	0.0	1.082	0.0	75.0	0.6644354010207318	40.0	33408.0	5909.0	0.5333333333333333	0.17687380268199235
chr1	26363742	26372624	ENSG00000158014	26363741	26363742	8882	0.0	0	0.8485205858290996	0.0	0.0	0.615	0.0	75.0	0.6644354010207318	40.0	33408.0	5909.0	0.5333333333333333	0.17687380268199235
chr1	26377794	26394927	ENSG00000158022	26377793	26377794	17133	0.2	0	0.8684081366076001	0.0	0.0	1.469	0.0	75.0	0.6644354010207318	40.0	33408.0	5909.0	0.5333333333333333	0.17687380268199235
chr1	26437663	26452034	ENSG00000175087	26437662	26437663	14371	4.0	1	0.02521019098345276	0.0	0.0	0.643	0.0	81.0	0.6657922720367175	44.0	35706.0	6678.0	0.5432098765432098	0.18702739035456226
chr1	26485510	26489119	ENSG00000197245	26485509	26485510	3609	1.5	1	0.050620139634493584	0.0	0.0	0.95	0.0	81.0	0.6657922720367175	44.0	35706.0	6678.0	0.5432098765432098	0.18702739035456226
chr1	26496361	26498551	ENSG00000142684	26496360	26496361	2190	6.1	1	0.062221286964571715	1.0	0.0	1.693	0.0	81.0	0.6657922720367175	44.0	35706.0	6678.0	0.5432098765432098	0.18702739035456226
chr1	26503893	26516377	ENSG00000142675	26503892	26503893	12484	1.6	1	0.11403056135705715	0.0	0.0	1.282	0.0	81.0	0.6657922720367175	44.0	35706.0	6678.0	0.5432098765432098	0.18702739035456226
chr1	26560690	26605299	ENSG00000130695	26560689	26560690	44609	4.9	1	0.1878774389956173	0.0	0.0	0.53	1.0	26.0	0.49049839818971114	8.0	9565.0	2624.0	0.3076923076923077	0.2743335075797177
chr1	26798940	26802463	ENSG00000198830	26798939	26798940	3523	119.3	1	0.01672990583901121	0.0	0.0	0.459	0.0	99.0	0.58375578120027	43.0	39278.0	12260.0	0.43434343434343436	0.3121340190437395
chr1	26856251	26901521	ENSG00000117676	26856250	26856251	45270	4.1	1	0.13547313142727835	0.0	0.0	0.515	0.0	99.0	0.58375578120027	43.0	39278.0	12260.0	0.43434343434343436	0.3121340190437395
chr1	27022523	27108595	ENSG00000117713	27022522	27022523	86072	9.2	1	0.011762782971970524	0.0	1.0	0.071	0.0	99.0	0.58375578120027	43.0	39278.0	12260.0	0.43434343434343436	0.3121340190437395
chr1	27113962	27124889	ENSG00000060642	27113961	27113962	10927	5.1	1	0.03376156148995752	0.0	0.0	1.238	1.0	99.0	0.58375578120027	43.0	39278.0	12260.0	0.43434343434343436	0.3121340190437395
chr1	27153200	27184093	ENSG00000204160	27153199	27153200	30893	17.3	1	0.026452579165281084	0.0	0.0	0.805	0.0	99.0	0.58375578120027	43.0	39278.0	12260.0	0.43434343434343436	0.3121340190437395
chr1	27189632	27190947	ENSG00000175793	27189631	27189632	1315	3.8	1	0.2560276031223408	0.0	0.0	0.704	0.0	99.0	0.58375578120027	43.0	39278.0	12260.0	0.43434343434343436	0.3121340190437395
chr1	27202623	27216788	ENSG00000142751	27202622	27202623	14165	9.9	1	0.013618532581453005	1.0	0.0	0.852	1.0	99.0	0.58375578120027	43.0	39278.0	12260.0	0.43434343434343436	0.3121340190437395
chr1	27425305	27493472	ENSG00000090020	27425304	27425305	68167	8.4	1	0.020130754633868427	0.0	0.0	0.375	0.0	162.0	0.5428655537836324	59.0	70879.0	20754.0	0.36419753086419754	0.2928088714569901
chr1	27561006	27635110	ENSG00000142784	27561005	27561006	74104	21.2	1	0.03716457018669965	1.0	1.0	0.23	0.0	162.0	0.5428655537836324	59.0	70879.0	20754.0	0.36419753086419754	0.2928088714569901
chr1	27648650	27662891	ENSG00000186501	27648649	27648650	14241	37.5	1	0.01774962179850806	1.0	0.0	1.485	0.0	162.0	0.5428655537836324	59.0	70879.0	20754.0	0.36419753086419754	0.2928088714569901
chr1	27668512	27680421	ENSG00000142765	27668511	27668512	11909	1.3	1	0.3116163421981336	0.0	0.0	1.056	0.0	162.0	0.5428655537836324	59.0	70879.0	20754.0	0.36419753086419754	0.2928088714569901
chr1	27681674	27693383	ENSG00000142733	27681673	27681674	11709	9.3	1	0.07259629287238857	0.0	0.0	0.768	0.0	162.0	0.5428655537836324	59.0	70879.0	20754.0	0.36419753086419754	0.2928088714569901
chr1	27695602	27701315	ENSG00000142748	27695601	27695602	5713	0.5	0	0.4659250799746126	0.0	0.0	0.896	0.0	162.0	0.5428655537836324	59.0	70879.0	20754.0	0.36419753086419754	0.2928088714569901
chr1	27705665	27709870	ENSG00000174950	27705664	27705665	4205	0.2	0	0.4386196078742469	0.0	0.0	1.575	0.0	162.0	0.5428655537836324	59.0	70879.0	20754.0	0.36419753086419754	0.2928088714569901
chr1	27719147	27722318	ENSG00000181773	27719146	27719147	3171	3.8	1	0.18541162720396973	0.0	0.0	1.543	0.0	162.0	0.5428655537836324	59.0	70879.0	20754.0	0.36419753086419754	0.2928088714569901
chr1	27730729	27816669	ENSG00000158195	27730728	27730729	85940	13.5	1	0.023898186252685867	0.0	1.0	0.311	0.0	162.0	0.5428655537836324	59.0	70879.0	20754.0	0.36419753086419754	0.2928088714569901
chr1	27860545	27930942	ENSG00000126705	27860544	27860545	70397	12.6	1	0.03851818634445243	0.0	1.0	0.076	0.0	162.0	0.5428655537836324	59.0	70879.0	20754.0	0.36419753086419754	0.2928088714569901
chr1	31205315	31230667	ENSG00000162511	31205314	31205315	25352	16.8	1	0.20895822335078346	0.0	0.0	0.4	0.0	92.0	0.6720181376915334	53.0	39036.0	2107.0	0.5760869565217391	0.05397581719438467
chr1	31342313	31381608	ENSG00000162512	31342312	31342313	39295	50.1	1	0.09732258780510823	0.0	0.0	0.664	0.0	92.0	0.6720181376915334	53.0	39036.0	2107.0	0.5760869565217391	0.05397581719438467
chr1	32117847	32169920	ENSG00000084636	32117846	32117847	52073	13.7	1	0.20487746629288967	0.0	0.0	0.627	0.0	46.0	0.7200320759025536	27.0	18384.0	4185.0	0.5869565217391305	0.22764360313315926
chr1	32192717	32230494	ENSG00000121753	32192716	32192717	37777	43.3	1	0.44711601597659373	0.0	1.0	0.249	0.0	46.0	0.7200320759025536	27.0	18384.0	4185.0	0.5869565217391305	0.22764360313315926
chr1	32479429	32526451	ENSG00000121774	32479428	32479429	47022	33.0	1	0.014764671196430053	1.0	1.0	0.24	0.0	29.0	0.4900596291897321	10.0	12477.0	2487.0	0.3448275862068966	0.19932676124068285
chr1	33473584	33546597	ENSG00000004455	33473583	33473584	73013	28.8	1	0.045713725460742406	1.0	0.0	1.223	0.0	44.0	0.5093672620259495	16.0	16482.0	2170.0	0.36363636363636365	0.1316587792743599
chr1	33789223	33896653	ENSG00000134686	33789222	33789223	107430	38.6	1	0.05394902212454785	1.0	0.0	0.387	0.0	51.0	0.5783558447194527	22.0	21070.0	3423.0	0.43137254901960786	0.16245847176079733
chr1	35899090	36023551	ENSG00000142687	35899089	35899090	124461	23.6	1	0.017657686805899696	1.0	0.0	0.449	0.0	6.0	0.9036450578940375	6.0	1945.0	273.0	1.0	0.14035989717223651
chr1	36023073	36032875	ENSG00000020129	36023072	36023073	9802	331.0	1	0.3481919893881804	0.0	1.0	0.175	0.0	57.0	0.6836051220302687	33.0	19739.0	7262.0	0.5789473684210527	0.367901109478697
chr1	36038970	36060929	ENSG00000116819	36038969	36038970	21959	5.4	1	0.1146655303603724	0.0	0.0	1.158	0.0	57.0	0.6836051220302687	33.0	19739.0	7262.0	0.5789473684210527	0.367901109478697
chr1	36067184	36107445	ENSG00000126067	36067183	36067184	40261	30.2	1	0.02633864920842672	1.0	0.0	0.386	1.0	57.0	0.6836051220302687	33.0	19739.0	7262.0	0.5789473684210527	0.367901109478697
chr1	36179475	36185073	ENSG00000142686	36179474	36179475	5598	58.9	1	0.15428970900455088	0.0	0.0	1.481	0.0	57.0	0.6836051220302687	33.0	19739.0	7262.0	0.5789473684210527	0.367901109478697
chr1	36185818	36235568	ENSG00000092853	36185817	36185818	49750	0.2	0	0.20898819610763456	0.0	0.0	0.402	0.0	57.0	0.6836051220302687	33.0	19739.0	7262.0	0.5789473684210527	0.367901109478697
chr1	38509522	38512450	ENSG00000185668	38509521	38509522	2928	3.4	1	0.4901276185800463	0.0	0.0	0.705	0.0	27.0	0.8683233914932336	23.0	10249.0	2320.0	0.8518518518518519	0.22636354766318664
chr1	39957317	39991607	ENSG00000183682	39957316	39957317	34290	1.4	1	0.07766757263665937	0.0	0.0	1.348	0.0	56.0	0.5477478861994965	25.0	22093.0	7637.0	0.44642857142857145	0.34567510071063234
chr1	40026487	40042462	ENSG00000090621	40026486	40026487	15975	25.3	1	0.16767720751668844	0.0	1.0	0.232	0.0	56.0	0.5477478861994965	25.0	22093.0	7637.0	0.44642857142857145	0.34567510071063234
chr1	40627044	40706593	ENSG00000117000	40627043	40627044	79549	5.2	1	0.0075329688176914876	0.0	1.0	0.04	0.0	36.0	0.520069692201694	11.0	17313.0	2619.0	0.3055555555555556	0.15127360942644255
chr1	40723778	40759856	ENSG00000084073	40723777	40723778	36078	12.9	1	0.008294516222166596	1.0	0.0	1.327	0.0	36.0	0.520069692201694	11.0	17313.0	2619.0	0.3055555555555556	0.15127360942644255
chr1	40766158	40783488	ENSG00000049089	40766157	40766158	17330	22.3	1	0.25722174593999897	0.0	0.0	0.636	0.0	36.0	0.520069692201694	11.0	17313.0	2619.0	0.3055555555555556	0.15127360942644255
chr1	40810521	40888998	ENSG00000084070	40810520	40810521	78477	65.6	1	0.10535756836373324	0.0	0.0	0.553	0.0	36.0	0.520069692201694	11.0	17313.0	2619.0	0.3055555555555556	0.15127360942644255
chr1	43391051	43424530	ENSG00000117394	43391050	43391051	33479	46.8	1	0.11916309276803908	0.0	1.0	0.241	0.0	45.0	0.7609592879511258	32.0	18110.0	1515.0	0.7111111111111111	0.08365543898398675
chr1	43610823	43622067	ENSG00000186973	43610822	43610823	11244	0.0	0	0.4448479118593568	0.0	0.0	1.154	0.0	45.0	0.7609592879511258	32.0	18110.0	1515.0	0.7111111111111111	0.08365543898398675
chr1	43735664	43739673	ENSG00000179178	43735663	43735664	4009	5.4	1	0.2686150557752293	0.0	0.0	1.965	0.0	72.0	0.6829817449418017	44.0	30293.0	6342.0	0.6111111111111112	0.20935529660317564
chr1	43747553	43751288	ENSG00000253313	43747552	43747553	3735	0.0	0	0.3461355937723353	0.0	0.0	1.907	0.0	72.0	0.6829817449418017	44.0	30293.0	6342.0	0.6111111111111112	0.20935529660317564
chr1	43766663	43788779	ENSG00000066056	43766662	43766663	22116	6.1	1	0.06042996771978903	0.0	0.0	0.885	0.0	72.0	0.6829817449418017	44.0	30293.0	6342.0	0.6111111111111112	0.20935529660317564
chr1	43803477	43818443	ENSG00000117400	43803476	43803477	14966	0.2	0	0.22281078954804934	0.0	0.0	0.763	0.0	72.0	0.6829817449418017	44.0	30293.0	6342.0	0.6111111111111112	0.20935529660317564
chr1	43824625	43828874	ENSG00000117399	43824624	43824625	4249	0.4	0	0.1965138859410462	0.0	0.0	0.838	1.0	72.0	0.6829817449418017	44.0	30293.0	6342.0	0.6111111111111112	0.20935529660317564
chr1	43829067	43833696	ENSG00000066322	43829066	43829067	4629	26.2	1	0.02191048994788823	1.0	0.0	0.462	0.0	72.0	0.6829817449418017	44.0	30293.0	6342.0	0.6111111111111112	0.20935529660317564
chr1	43849587	43855479	ENSG00000159479	43849586	43849587	5892	20.0	1	0.009376836411879787	1.0	0.0	1.098	0.0	72.0	0.6829817449418017	44.0	30293.0	6342.0	0.6111111111111112	0.20935529660317564
chr1	43855552	43918321	ENSG00000198198	43855551	43855552	62769	1.5	1	0.01783886490951968	0.0	0.0	0.405	0.0	72.0	0.6829817449418017	44.0	30293.0	6342.0	0.6111111111111112	0.20935529660317564
chr1	44870865	45117396	ENSG00000187147	44870864	44870865	246531	23.5	1	0.11248060333514336	1.0	1.0	0.202	0.0	158.0	0.86420237830735	139.0	72627.0	17064.0	0.879746835443038	0.23495394274856457
chr1	45100909	45140227	ENSG00000126106	45100908	45100909	39318	7.8	1	0.08253764399048713	0.0	0.0	1.0	0.0	138.0	0.8567712027729136	120.0	68710.0	16840.0	0.8695652173913043	0.24508805122980643
chr1	45792544	45794347	ENSG00000186603	45792543	45792544	1803	1.0	0	0.09061348856316444	0.0	0.0	1.433	0.0	36.0	0.6427719787409673	19.0	14124.0	3208.0	0.5277777777777778	0.227131124327386
chr1	45794834	45806142	ENSG00000132781	45794833	45794834	11308	2.7	1	0.015261862643305556	0.0	0.0	1.191	0.0	36.0	0.6427719787409673	19.0	14124.0	3208.0	0.5277777777777778	0.227131124327386
chr1	45805341	45809647	ENSG00000132773	45805340	45805341	4306	1.8	1	0.01928451811557749	0.0	0.0	1.457	1.0	36.0	0.6427719787409673	19.0	14124.0	3208.0	0.5277777777777778	0.227131124327386
