chrom	start	end	target_gene	tss_start	tss_end	gene_length	lung	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	1950779	1962192	ENSG00000187730	1950778	1950779	11413	1.0	0	0.5567640722499921	0.0	1.0	0.245	0.0	7.0	0.5905303801308293	3.0	3600.0	353.0	0.42857142857142855	0.09805555555555556
chr1	2160133	2241558	ENSG00000157933	2160132	2160133	81425	37.2	1	0.009599752283246794	0.0	1.0	0.194	0.0	19.0	0.5214241192212135	9.0	37600.0	1923.0	0.47368421052631576	0.051143617021276594
chr1	2252691	2323146	ENSG00000116151	2252690	2252691	70455	4.7	1	0.053126021189200665	0.0	0.0	1.116	0.0	19.0	0.5214241192212135	9.0	37600.0	1923.0	0.47368421052631576	0.051143617021276594
chr1	6845383	7829766	ENSG00000171735	6845382	6845383	984383	40.0	1	0.033377414405762314	1.0	1.0	0.172	0.0	13.0	0.7130415953810947	9.0	8000.0	1212.0	0.6923076923076923	0.1515
chr1	8377885	8404227	ENSG00000162426	8377884	8377885	26342	1.1	1	0.11791702662118138	0.0	0.0	0.745	0.0	68.0	0.6176772267264987	34.0	52000.0	4185.0	0.5	0.08048076923076923
chr1	8412456	8877702	ENSG00000142599	8412455	8412456	465246	42.2	1	0.05904072753930298	0.0	1.0	0.12	0.0	68.0	0.6176772267264987	34.0	52000.0	4185.0	0.5	0.08048076923076923
chr1	8921060	8939308	ENSG00000074800	8921059	8921060	18248	531.4	1	0.01458383680138749	0.0	0.0	0.864	1.0	12.0	0.5569395846507916	6.0	5800.0	56.0	0.5	0.009655172413793104
chr1	9005925	9035151	ENSG00000131686	9005924	9005925	29226	0.0	0	0.6941127267919259	0.0	0.0	0.917	0.0	12.0	0.5569395846507916	6.0	5800.0	56.0	0.5	0.009655172413793104
chr1	9352938	9429591	ENSG00000171621	9352937	9352938	76653	30.5	1	0.08178002888575657	0.0	0.0	0.594	0.0	41.0	0.4888841243218627	13.0	47200.0	4057.0	0.3170731707317073	0.08595338983050847
chr1	9599540	9645237	ENSG00000171612	9599539	9599540	45697	3.0	1	0.1096472926809236	0.0	0.0	0.825	0.0	41.0	0.4888841243218627	13.0	47200.0	4057.0	0.3170731707317073	0.08595338983050847
chr1	9908333	9970394	ENSG00000178585	9908332	9908333	62061	30.3	1	0.028887984494568062	1.0	0.0	1.383	0.0	11.0	0.4691269336844693	3.0	10000.0	658.0	0.2727272727272727	0.0658
chr1	10458648	10480201	ENSG00000142657	10458647	10458648	21553	99.1	1	0.03440832993091269	0.0	1.0	0.292	1.0	2.0	0.33889035263304035	0.0	1400.0	222.0	0.0	0.15857142857142856
