chrom	start	end	target_gene	tss_start	tss_end	gene_length	spleen	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	1716728	1822495	ENSG00000078369	1716727	1716728	105767	105.0	1	0.04049145886717311	1.0	1.0	0.145	0.0	45.0	0.5598932711432124	17.0	14764.0	463.0	0.37777777777777777	0.03136006502302899
chr1	1950779	1962192	ENSG00000187730	1950778	1950779	11413	0.3	0	0.5567640722499921	0.0	1.0	0.245	0.0	13.0	0.747849863726558	9.0	4743.0	271.0	0.6923076923076923	0.057136833227914824
chr1	1981908	2116834	ENSG00000067606	1981907	1981908	134926	10.3	1	0.08605372808685617	0.0	0.0	0.4	0.0	13.0	0.747849863726558	9.0	4743.0	271.0	0.6923076923076923	0.057136833227914824
chr1	2160133	2241558	ENSG00000157933	2160132	2160133	81425	22.5	1	0.009599752283246794	0.0	1.0	0.194	0.0	67.0	0.3610474871207971	14.0	25910.0	797.0	0.208955223880597	0.030760324199150906
chr1	2252691	2323146	ENSG00000116151	2252690	2252691	70455	1.9	1	0.053126021189200665	0.0	0.0	1.116	0.0	67.0	0.3610474871207971	14.0	25910.0	797.0	0.208955223880597	0.030760324199150906
chr1	2323266	2336883	ENSG00000157916	2323265	2323266	13617	105.6	1	0.034190496753689965	1.0	0.0	0.576	0.0	67.0	0.3610474871207971	14.0	25910.0	797.0	0.208955223880597	0.030760324199150906
chr1	6051525	6161253	ENSG00000069424	6051524	6051525	109728	70.2	1	0.16744430973489424	0.0	0.0	0.385	0.0	5.0	0.8265611042092672	5.0	970.0	75.0	1.0	0.07731958762886598
chr1	6581406	6614595	ENSG00000162408	6581405	6581406	33189	8.5	1	0.025355446524222364	0.0	0.0	0.549	1.0	20.0	0.6479464780252581	12.0	12131.0	1265.0	0.6	0.10427829527656418
chr1	6615240	6639817	ENSG00000173662	6615239	6615240	24577	0.5	0	0.2598995349562374	0.0	0.0	1.174	0.0	20.0	0.6479464780252581	12.0	12131.0	1265.0	0.6	0.10427829527656418
chr1	6640060	6649340	ENSG00000204859	6640059	6640060	9280	14.3	1	0.024015390489169973	0.0	0.0	0.644	0.0	20.0	0.6479464780252581	12.0	12131.0	1265.0	0.6	0.10427829527656418
chr1	6650783	6674667	ENSG00000162413	6650782	6650783	23884	16.3	1	0.15347948997273506	0.0	0.0	1.127	0.0	20.0	0.6479464780252581	12.0	12131.0	1265.0	0.6	0.10427829527656418
chr1	6673744	6684093	ENSG00000116273	6673743	6673744	10349	6.6	1	0.014722409888840243	0.0	1.0	0.249	0.0	20.0	0.6479464780252581	12.0	12131.0	1265.0	0.6	0.10427829527656418
chr1	6684925	6695646	ENSG00000041988	6684924	6684925	10721	20.2	1	0.011619610530012672	1.0	0.0	1.358	0.0	20.0	0.6479464780252581	12.0	12131.0	1265.0	0.6	0.10427829527656418
chr1	6845383	7829766	ENSG00000171735	6845382	6845383	984383	28.4	1	0.033377414405762314	1.0	1.0	0.172	0.0	6.0	0.5063379514286882	1.0	3727.0	1054.0	0.16666666666666666	0.28280118057418835
chr1	7831328	7841492	ENSG00000049245	7831327	7831328	10164	44.4	1	0.014368183915860644	1.0	0.0	1.269	0.0	20.0	0.7619676462008383	14.0	7115.0	1136.0	0.7	0.15966268446943077
chr1	7844379	7905237	ENSG00000049246	7844378	7844379	60858	3.2	1	0.03256398208300736	0.0	0.0	0.841	0.0	20.0	0.7619676462008383	14.0	7115.0	1136.0	0.7	0.15966268446943077
chr1	7903142	7913572	ENSG00000049247	7903141	7903142	10430	0.8	0	0.2763190691342407	0.0	0.0	1.271	0.0	20.0	0.7619676462008383	14.0	7115.0	1136.0	0.7	0.15966268446943077
chr1	8064463	8086368	ENSG00000116285	8064462	8064463	21905	7.5	1	0.21435170687689495	0.0	0.0	0.881	0.0	43.0	0.4117039040218058	12.0	16708.0	1177.0	0.27906976744186046	0.07044529566674647
chr1	8377885	8404227	ENSG00000162426	8377884	8377885	26342	1.5	1	0.11791702662118138	0.0	0.0	0.745	0.0	58.0	0.40179107701232397	15.0	22558.0	1950.0	0.25862068965517243	0.08644383367319798
chr1	8412456	8877702	ENSG00000142599	8412455	8412456	465246	41.1	1	0.05904072753930298	0.0	1.0	0.12	0.0	58.0	0.40179107701232397	15.0	22558.0	1950.0	0.25862068965517243	0.08644383367319798
chr1	8921060	8939308	ENSG00000074800	8921059	8921060	18248	391.9	1	0.01458383680138749	0.0	0.0	0.864	1.0	92.0	0.4096408491480834	23.0	33591.0	4326.0	0.25	0.12878449584710192
chr1	9294833	9331396	ENSG00000049239	9294832	9294833	36563	14.2	1	0.11535779670473015	0.0	0.0	0.941	0.0	36.0	0.37301114956834114	9.0	13048.0	1012.0	0.25	0.07755977927651747
