chrom	start	end	target_gene	tss_start	tss_end	gene_length	heart_left_ventricle	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	6845383	7829766	ENSG00000171735	6845382	6845383	984383	54.9	1	0.033377414405762314	1.0	1.0	0.172	0.0	22.0	0.662303182467042	11.0	23000.0	2763.0	0.5	0.1201304347826087
chr1	8377885	8404227	ENSG00000162426	8377884	8377885	26342	1.1	1	0.11791702662118138	0.0	0.0	0.745	0.0	90.0	0.5319735602988358	39.0	88400.0	7675.0	0.43333333333333335	0.08682126696832579
chr1	8412456	8877702	ENSG00000142599	8412455	8412456	465246	32.2	1	0.05904072753930298	0.0	1.0	0.12	0.0	90.0	0.5319735602988358	39.0	88400.0	7675.0	0.43333333333333335	0.08682126696832579
chr1	9352938	9429591	ENSG00000171621	9352937	9352938	76653	11.3	1	0.08178002888575657	0.0	0.0	0.594	0.0	35.0	0.5112783476884952	13.0	52200.0	4393.0	0.37142857142857144	0.08415708812260536
chr1	9599540	9645237	ENSG00000171612	9599539	9599540	45697	2.8	1	0.1096472926809236	0.0	0.0	0.825	0.0	34.0	0.505758004845921	12.0	50600.0	4377.0	0.35294117647058826	0.08650197628458497
chr1	9982172	10003465	ENSG00000162441	9982171	9982172	21293	11.4	1	0.01610787477627696	0.0	0.0	1.14	0.0	17.0	0.7000919973329198	12.0	24800.0	1801.0	0.7058823529411765	0.07262096774193548
chr1	10003485	10045559	ENSG00000173614	10003484	10003485	42074	4.4	1	0.03954068247985031	0.0	0.0	0.877	0.0	17.0	0.7000919973329198	12.0	24800.0	1801.0	0.7058823529411765	0.07262096774193548
chr1	10057263	10076078	ENSG00000162444	10057262	10057263	18815	27.5	1	0.18797226467066155	0.0	0.0	0.732	0.0	35.0	0.6814984345898905	24.0	47000.0	2840.0	0.6857142857142857	0.06042553191489362
chr1	10092889	10241297	ENSG00000130939	10092888	10092889	148408	6.6	1	0.05707837884751232	1.0	1.0	0.157	0.0	33.0	0.7060485830905572	24.0	43800.0	2314.0	0.7272727272727273	0.0528310502283105
chr1	10270862	10441661	ENSG00000054523	10270861	10270862	170799	10.6	1	0.2099452749424318	0.0	1.0	0.171	0.0	26.0	0.7210292797434849	20.0	33800.0	1771.0	0.7692307692307693	0.05239644970414201
chr1	11539222	11597641	ENSG00000204624	11539221	11539222	58419	0.0	0	0.4711625286950651	0.0	0.0	0.548	0.0	6.0	0.5152524968535585	1.0	5000.0	837.0	0.16666666666666666	0.1674
chr1	11708423	11715842	ENSG00000116661	11708422	11708423	7419	6.7	1	0.3231469622276413	0.0	0.0	0.997	0.0	6.0	0.5152524968535585	1.0	5000.0	837.0	0.16666666666666666	0.1674
chr1	12227059	12269285	ENSG00000028137	12227058	12227059	42226	6.3	1	0.10564271959515432	0.0	0.0	0.476	0.0	14.0	0.592436352246069	9.0	19000.0	558.0	0.6428571428571429	0.02936842105263158
chr1	12290123	12572099	ENSG00000048707	12290122	12290123	281976	6.1	1	0.01790190155322375	0.0	1.0	0.332	1.0	14.0	0.592436352246069	9.0	19000.0	558.0	0.6428571428571429	0.02936842105263158
chr1	12627938	12677737	ENSG00000162496	12627937	12627938	49799	0.2	0	0.10403015526466948	0.0	0.0	0.674	0.0	33.0	0.5919885135696653	16.0	45800.0	5618.0	0.48484848484848486	0.12266375545851528
chr1	12704565	12727097	ENSG00000204518	12704564	12704565	22532	0.0	0	0.6941127267919259	0.0	0.0	1.679	0.0	33.0	0.5919885135696653	16.0	45800.0	5618.0	0.48484848484848486	0.12266375545851528
chr1	14925199	15444539	ENSG00000189337	14925198	14925199	519340	3.7	1	0.16572770054075014	0.0	0.0	0.381	0.0	0.0		0.0				
