enh_chrom	enh_start	enh_end	sig_connect	in_same_tad	target_gene	gtex_tpm	hk	lof_intol	essential	rel_entropy	enh_rel_entropy	phastcons_overlap	tisspec_enh	enh_length	tissue
chr1	19722292	19722556	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.5418430900086738	0	0	264	ovary
chr1	19722648	19722981	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.5418430900086738	0	0	333	ovary
chr1	19723846	19724072	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.7109351736821121	0	1	226	ovary
chr1	19724328	19725088	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.25277826369078593	7	0	760	ovary
chr1	19725207	19725501	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	1.0	0	1	294	ovary
chr1	19725816	19726222	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.5418430900086738	0	0	406	ovary
chr1	19726377	19726530	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.7109351736821121	0	1	153	ovary
chr1	19726609	19727630	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.25277826369078593	0	0	1021	ovary
chr1	19727791	19728372	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.25277826369078593	105	0	581	ovary
chr1	19728466	19729204	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.25277826369078593	0	0	738	ovary
chr1	19729839	19730172	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.3288122585287603	0	0	333	ovary
chr1	19731090	19731207	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.5418430900086738	0	0	117	ovary
chr1	19731544	19731645	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.4218703473642241	0	0	101	ovary
chr1	19731736	19731858	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.4218703473642241	0	0	122	ovary
chr1	19732427	19732591	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.4218703473642241	44	0	164	ovary
chr1	19733915	19734136	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.25277826369078593	0	0	221	ovary
chr1	19734194	19734506	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.25277826369078593	0	0	312	ovary
chr1	19734624	19734998	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.25277826369078593	0	0	374	ovary
chr1	19735729	19735892	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	1.0	0	1	163	ovary
chr1	19736948	19737115	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	1.0	0	1	167	ovary
chr1	19737346	19737502	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.4218703473642241	0	0	156	ovary
