chrom	start	end	target_gene	tss_start	tss_end	gene_length	psoas_muscle	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	8064463	8086368	ENSG00000116285	8064462	8064463	21905	112.7	1	0.21435170687689495	0.0	0.0	0.881	0.0	47.0	0.30886589401562303	6.0	12180.0	1447.0	0.1276595744680851	0.11880131362889984
chr1	8377885	8404227	ENSG00000162426	8377884	8377885	26342	0.6	0	0.11791702662118138	0.0	0.0	0.745	0.0	126.0	0.3603111126925512	25.0	37045.0	3575.0	0.1984126984126984	0.09650425158590903
chr1	8412456	8877702	ENSG00000142599	8412455	8412456	465246	72.9	1	0.05904072753930298	0.0	1.0	0.12	0.0	126.0	0.3603111126925512	25.0	37045.0	3575.0	0.1984126984126984	0.09650425158590903
chr1	9352938	9429591	ENSG00000171621	9352937	9352938	76653	21.6	1	0.08178002888575657	0.0	0.0	0.594	0.0	22.0	0.48760421800585085	7.0	7749.0	387.0	0.3181818181818182	0.04994192799070848
chr1	9908333	9970394	ENSG00000178585	9908332	9908333	62061	7.4	1	0.028887984494568062	1.0	0.0	1.383	0.0	18.0	0.3539329380902485	3.0	4860.0	648.0	0.16666666666666666	0.13333333333333333
chr1	10696660	10856707	ENSG00000130940	10696659	10696660	160047	15.9	1	0.21139872517974895	0.0	1.0	0.152	0.0	56.0	0.5855120317248884	27.0	14571.0	2816.0	0.48214285714285715	0.19326058609566948
chr1	12227059	12269285	ENSG00000028137	12227058	12227059	42226	5.0	1	0.10564271959515432	0.0	0.0	0.476	0.0	45.0	0.4630735948581358	10.0	11252.0	410.0	0.2222222222222222	0.03643796658371845
chr1	12290123	12572099	ENSG00000048707	12290122	12290123	281976	6.9	1	0.01790190155322375	0.0	1.0	0.332	1.0	45.0	0.4630735948581358	10.0	11252.0	410.0	0.2222222222222222	0.03643796658371845
chr1	12627938	12677737	ENSG00000162496	12627937	12627938	49799	0.1	0	0.10403015526466948	0.0	0.0	0.674	0.0	105.0	0.32019904841299474	16.0	29185.0	4417.0	0.1523809523809524	0.15134486893952373
chr1	14925199	15444539	ENSG00000189337	14925198	14925199	519340	0.6	0	0.16572770054075014	0.0	0.0	0.381	0.0	2.0	1.0	2.0	329.0	113.0	1.0	0.3434650455927052
chr1	15943994	15995539	ENSG00000197312	15943993	15943994	51545	13.1	1	0.08322525021923176	0.0	1.0	0.208	1.0	44.0	0.8708288983878792	37.0	10266.0	1591.0	0.8409090909090909	0.15497759594778882
chr1	15986363	15988217	ENSG00000215695	15986362	15986363	1854	0.1	0	0.25158745769912005	1.0	0.0	1.522	0.0	44.0	0.8708288983878792	37.0	10266.0	1591.0	0.8409090909090909	0.15497759594778882
chr1	16268363	16302627	ENSG00000116809	16268362	16268363	34264	12.5	1	0.007685736075891235	1.0	1.0	0.309	1.0	31.0	0.4523266321675475	9.0	7073.0	754.0	0.2903225806451613	0.10660257316555917
chr1	19542157	19578046	ENSG00000127463	19542156	19542157	35889	9.3	1	0.018300840904622702	1.0	0.0	1.009	1.0	53.0	0.36744078362515353	10.0	12878.0	2335.0	0.18867924528301888	0.18131697468551017
chr1	19578032	19586622	ENSG00000053372	19578031	19578032	8590	10.6	1	0.01718983473105039	1.0	1.0	0.23	1.0	53.0	0.36744078362515353	10.0	12878.0	2335.0	0.18867924528301888	0.18131697468551017
chr1	19609051	19615744	ENSG00000162482	19609050	19609051	6693	0.2	0	0.4996537712826025	0.0	0.0	1.928	0.0	53.0	0.36744078362515353	10.0	12878.0	2335.0	0.18867924528301888	0.18131697468551017
chr1	19630458	19638640	ENSG00000053371	19630457	19630458	8182	24.7	1	0.01814701490690487	1.0	0.0	1.522	0.0	53.0	0.36744078362515353	10.0	12878.0	2335.0	0.18867924528301888	0.18131697468551017
chr1	19638819	19655794	ENSG00000040487	19638818	19638819	16975	6.8	1	0.014255292815659312	1.0	0.0	1.004	0.0	53.0	0.36744078362515353	10.0	12878.0	2335.0	0.18867924528301888	0.18131697468551017
chr1	19665266	19812066	ENSG00000077549	19665265	19665266	146800	112.6	1	0.16963323404242808	1.0	0.0	0.379	0.0	53.0	0.36744078362515353	10.0	12878.0	2335.0	0.18867924528301888	0.18131697468551017
chr1	19923476	19956314	ENSG00000173436	19923475	19923476	32838	5.5	1	0.04258459524331211	1.0	0.0	0.584	0.0	71.0	0.24799201249071925	5.0	16306.0	1654.0	0.07042253521126761	0.10143505458113578
chr1	20617411	20681387	ENSG00000158816	20617410	20617411	63976	0.0	0	0.8346636346178993	0.0	0.0	1.272	0.0	2.0	0.48185671868644897	0.0	281.0	37.0	0.0	0.13167259786476868
chr1	21046224	21059330	ENSG00000189410	21046223	21046224	13106	0.0	0	0.4820192182439518	0.0	0.0	1.094	0.0	40.0	0.7274416885773033	27.0	10929.0	1357.0	0.675	0.12416506542227103
chr1	21069153	21113816	ENSG00000127483	21069152	21069153	44663	47.9	1	0.012455028695411657	1.0	1.0	0.3	0.0	40.0	0.7274416885773033	27.0	10929.0	1357.0	0.675	0.12416506542227103
chr1	21132962	21503377	ENSG00000075151	21132961	21132962	370415	12.0	1	0.025762731429332563	1.0	1.0	0.112	0.0	40.0	0.7274416885773033	27.0	10929.0	1357.0	0.675	0.12416506542227103
chr1	23410515	23504301	ENSG00000169641	23410514	23410515	93786	0.1	0	0.054323145428416084	0.0	0.0	0.402	0.0	12.0	0.38998755221531733	3.0	1848.0	250.0	0.25	0.13528138528138528
chr1	23516992	23521222	ENSG00000179546	23516991	23516992	4230	0.0	0	0.6535360832378236	0.0	0.0	1.296	0.0	11.0	0.3345318751439825	2.0	1724.0	159.0	0.18181818181818182	0.09222737819025523
chr1	23630263	23670829	ENSG00000125944	23630262	23630263	40566	25.5	1	0.00726380150912205	1.0	1.0	0.21	0.0	11.0	0.3345318751439825	2.0	1724.0	159.0	0.18181818181818182	0.09222737819025523
chr1	24171566	24194784	ENSG00000179163	24171565	24171566	23218	5.8	1	0.05490488416488299	0.0	0.0	0.944	0.0	20.0	0.6643376270703504	13.0	4991.0	524.0	0.65	0.10498898016429573
chr1	24197015	24285549	ENSG00000188822	24197014	24197015	88534	0.0	0	0.4869822552162653	0.0	0.0	1.683	0.0	20.0	0.6643376270703504	13.0	4991.0	524.0	0.65	0.10498898016429573
chr1	24480646	24514449	ENSG00000185436	24480645	24480646	33803	1.3	1	0.09427250551235962	0.0	0.0	0.763	0.0	15.0	0.5000515100342559	5.0	3683.0	258.0	0.3333333333333333	0.07005158837903883
chr1	24645811	24690972	ENSG00000158055	24645810	24645811	45161	0.0	0	0.8346636346178993	0.0	1.0	0.277	0.0	15.0	0.5000515100342559	5.0	3683.0	258.0	0.3333333333333333	0.07005158837903883
chr1	24683488	24743424	ENSG00000001460	24683487	24683488	59936	0.5	0	0.0572567126063331	0.0	0.0	1.339	0.0	15.0	0.5000515100342559	5.0	3683.0	258.0	0.3333333333333333	0.07005158837903883
chr1	24829386	24867530	ENSG00000117602	24829385	24829386	38144	0.3	0	0.07967952413474128	0.0	0.0	1.313	0.0	2.0	0.5198737161054362	1.0	448.0	10.0	0.5	0.022321428571428572
chr1	26286257	26324648	ENSG00000158006	26286256	26286257	38391	8.8	1	0.11371882885611022	0.0	0.0	1.113	0.0	17.0	0.7449428003077461	11.0	4144.0	470.0	0.6470588235294118	0.11341698841698841
