chrom	start	end	target_gene	tss_start	tss_end	gene_length	brain_hippocampus	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	2985731	3355185	ENSG00000142611	2985730	2985731	369454	0.8	0	0.10089598538888576	0.0	1.0	0.187	0.0	18.0	0.6478936509299756	9.0	24800.0	2708.0	0.5	0.10919354838709677
chr1	8377885	8404227	ENSG00000162426	8377884	8377885	26342	2.8	1	0.11791702662118138	0.0	0.0	0.745	0.0	48.0	0.5989633217585024	22.0	75800.0	6809.0	0.4583333333333333	0.08982849604221636
chr1	8412456	8877702	ENSG00000142599	8412455	8412456	465246	16.2	1	0.05904072753930298	0.0	1.0	0.12	0.0	48.0	0.5989633217585024	22.0	75800.0	6809.0	0.4583333333333333	0.08982849604221636
chr1	8921060	8939308	ENSG00000074800	8921059	8921060	18248	344.3	1	0.01458383680138749	0.0	0.0	0.864	1.0	29.0	0.6577868962963734	18.0	36400.0	6044.0	0.6206896551724138	0.16604395604395605
chr1	9294833	9331396	ENSG00000049239	9294832	9294833	36563	3.6	1	0.11535779670473015	0.0	0.0	0.941	0.0	35.0	0.531248919240953	13.0	57400.0	2942.0	0.37142857142857144	0.051254355400696866
chr1	9352938	9429591	ENSG00000171621	9352937	9352938	76653	5.4	1	0.08178002888575657	0.0	0.0	0.594	0.0	35.0	0.531248919240953	13.0	57400.0	2942.0	0.37142857142857144	0.051254355400696866
chr1	9982172	10003465	ENSG00000162441	9982171	9982172	21293	11.3	1	0.01610787477627696	0.0	0.0	1.14	0.0	25.0	0.7406383072424529	18.0	26800.0	1052.0	0.72	0.03925373134328358
chr1	10003485	10045559	ENSG00000173614	10003484	10003485	42074	2.5	1	0.03954068247985031	0.0	0.0	0.877	0.0	25.0	0.7406383072424529	18.0	26800.0	1052.0	0.72	0.03925373134328358
chr1	10057263	10076078	ENSG00000162444	10057262	10057263	18815	15.3	1	0.18797226467066155	0.0	0.0	0.732	0.0	25.0	0.7406383072424529	18.0	26800.0	1052.0	0.72	0.03925373134328358
chr1	10092889	10241297	ENSG00000130939	10092888	10092889	148408	5.8	1	0.05707837884751232	1.0	1.0	0.157	0.0	54.0	0.7711653740019173	39.0	66200.0	5566.0	0.7222222222222222	0.0840785498489426
