enh_chrom	enh_start	enh_end	sig_connect	in_same_tad	target_gene	gtex_tpm	hk	lof_intol	essential	rel_entropy	enh_rel_entropy	phastcons_overlap	tisspec_enh	enh_length	tissue
chr1	8064200	8066600	1	1	ENSG00000162426	0.6	0.0	0.0	0.0	0.11791702662118138	0.2218487496163564	322	0	2400	psoas_muscle
chr1	8075400	8076200	1	1	ENSG00000162426	0.6	0.0	0.0	0.0	0.11791702662118138	1.0	229	1	800	psoas_muscle
chr1	8076800	8079600	1	1	ENSG00000162426	0.6	0.0	0.0	0.0	0.11791702662118138	1.0	684	1	2800	psoas_muscle
chr1	11121200	11121400	1	1	ENSG00000120942	8.3	1.0	0.0	0.0	0.038877135738203714	0.5228787452803376	0	0	200	psoas_muscle
chr1	12387200	12387400	1	1	ENSG00000204518	0.0	0.0	0.0	0.0	0.6941127267919259	1.0	0	1	200	psoas_muscle
chr1	12396400	12396800	1	1	ENSG00000204518	0.0	0.0	0.0	0.0	0.6941127267919259	0.3979400086720376	358	0	400	psoas_muscle
chr1	12399800	12401000	1	1	ENSG00000204518	0.0	0.0	0.0	0.0	0.6941127267919259	0.6989700043360187	369	1	1200	psoas_muscle
chr1	12369400	12371000	1	1	ENSG00000204518	0.0	0.0	0.0	0.0	0.6941127267919259	0.5228787452803376	266	0	1600	psoas_muscle
chr1	15901200	15901800	1	1	ENSG00000197312	13.1	0.0	1.0	1.0	0.08322525021923176	0.6989700043360187	113	1	600	psoas_muscle
chr1	15904200	15904800	1	1	ENSG00000197312	13.1	0.0	1.0	1.0	0.08322525021923176	1.0	162	1	600	psoas_muscle
chr1	15905200	15906000	1	1	ENSG00000197312	13.1	0.0	1.0	1.0	0.08322525021923176	1.0	212	1	800	psoas_muscle
chr1	15907000	15907200	1	1	ENSG00000197312	13.1	0.0	1.0	1.0	0.08322525021923176	1.0	0	1	200	psoas_muscle
chr1	15907600	15907800	1	1	ENSG00000197312	13.1	0.0	1.0	1.0	0.08322525021923176	1.0	0	1	200	psoas_muscle
chr1	15923000	15923600	1	1	ENSG00000215695	0.1	1.0	0.0	0.0	0.25158745769912005	1.0	0	1	600	psoas_muscle
chr1	15943000	15943200	1	1	ENSG00000215695	0.1	1.0	0.0	0.0	0.25158745769912005	0.2218487496163564	41	0	200	psoas_muscle
chr1	15946000	15946400	1	1	ENSG00000215695	0.1	1.0	0.0	0.0	0.25158745769912005	0.3979400086720376	0	0	400	psoas_muscle
