chrom	start	end	target_gene	tss_start	tss_end	gene_length	ovary	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	14925199	15444539	ENSG00000189337	14925198	14925199	519340	16.9	1	0.16572770054075014	0.0	0.0	0.381	0.0	21.0	0.8087764291177848	17.0	13600.0	1559.0	0.8095238095238095	0.11463235294117648
chr1	23410515	23504301	ENSG00000169641	23410514	23410515	93786	0.5	0	0.054323145428416084	0.0	0.0	0.402	0.0	13.0	0.6159560623323552	7.0	11600.0	875.0	0.5384615384615384	0.07543103448275862
chr1	23516992	23521222	ENSG00000179546	23516991	23516992	4230	0.0	0	0.6535360832378236	0.0	0.0	1.296	0.0	13.0	0.6159560623323552	7.0	11600.0	875.0	0.5384615384615384	0.07543103448275862
chr1	24645811	24690972	ENSG00000158055	24645810	24645811	45161	0.0	0	0.8346636346178993	0.0	1.0	0.277	0.0	4.0	0.4247425010840046	1.0	2800.0	325.0	0.25	0.11607142857142858
chr1	24683488	24743424	ENSG00000001460	24683487	24683488	59936	3.9	1	0.0572567126063331	0.0	0.0	1.339	0.0	4.0	0.4247425010840046	1.0	2800.0	325.0	0.25	0.11607142857142858
chr1	24742283	24799466	ENSG00000001461	24742282	24742283	57183	4.4	1	0.11992147565712866	0.0	0.0	0.844	0.0	4.0	0.4247425010840046	1.0	2800.0	325.0	0.25	0.11607142857142858
chr1	26286257	26324648	ENSG00000158006	26286256	26286257	38391	3.5	1	0.11371882885611022	0.0	0.0	1.113	0.0	4.0	0.4436726795685343	1.0	1400.0	322.0	0.25	0.23
chr1	40627044	40706593	ENSG00000117000	40627043	40627044	79549	8.1	1	0.0075329688176914876	0.0	1.0	0.04	0.0	14.0	0.5987317871532513	7.0	6600.0	823.0	0.5	0.1246969696969697
chr1	40723778	40759856	ENSG00000084073	40723777	40723778	36078	14.4	1	0.008294516222166596	1.0	0.0	1.327	0.0	14.0	0.5987317871532513	7.0	6600.0	823.0	0.5	0.1246969696969697
chr1	40766158	40783488	ENSG00000049089	40766157	40766158	17330	1.3	1	0.25722174593999897	0.0	0.0	0.636	0.0	14.0	0.5987317871532513	7.0	6600.0	823.0	0.5	0.1246969696969697
chr1	40810521	40888998	ENSG00000084070	40810520	40810521	78477	12.4	1	0.10535756836373324	0.0	0.0	0.553	0.0	14.0	0.5987317871532513	7.0	6600.0	823.0	0.5	0.1246969696969697
chr1	43282794	43310660	ENSG00000164010	43282793	43282794	27866	2.7	1	0.02224253492732874	0.0	0.0	1.167	0.0	0.0		0.0				
chr1	43312279	43318148	ENSG00000164011	43312278	43312279	5869	10.4	1	0.027560745356784662	1.0	0.0	0.47	0.0	0.0		0.0				
chr1	43735664	43739673	ENSG00000179178	43735663	43735664	4009	1.3	1	0.2686150557752293	0.0	0.0	1.965	0.0	16.0	0.451360444370478	5.0	11200.0	1257.0	0.3125	0.11223214285714286
chr1	43747553	43751288	ENSG00000253313	43747552	43747553	3735	0.0	0	0.3461355937723353	0.0	0.0	1.907	0.0	16.0	0.451360444370478	5.0	11200.0	1257.0	0.3125	0.11223214285714286
chr1	43766663	43788779	ENSG00000066056	43766662	43766663	22116	6.6	1	0.06042996771978903	0.0	0.0	0.885	0.0	16.0	0.451360444370478	5.0	11200.0	1257.0	0.3125	0.11223214285714286
chr1	43803477	43818443	ENSG00000117400	43803476	43803477	14966	0.2	0	0.22281078954804934	0.0	0.0	0.763	0.0	16.0	0.451360444370478	5.0	11200.0	1257.0	0.3125	0.11223214285714286
chr1	43824625	43828874	ENSG00000117399	43824624	43824625	4249	0.8	0	0.1965138859410462	0.0	0.0	0.838	1.0	16.0	0.451360444370478	5.0	11200.0	1257.0	0.3125	0.11223214285714286
chr1	43829067	43833696	ENSG00000066322	43829066	43829067	4629	28.6	1	0.02191048994788823	1.0	0.0	0.462	0.0	14.0	0.39448550754225925	3.0	9000.0	1102.0	0.21428571428571427	0.12244444444444444
chr1	43849587	43855479	ENSG00000159479	43849586	43849587	5892	22.1	1	0.009376836411879787	1.0	0.0	1.098	0.0	14.0	0.39448550754225925	3.0	9000.0	1102.0	0.21428571428571427	0.12244444444444444
chr1	43855552	43918321	ENSG00000198198	43855551	43855552	62769	4.6	1	0.01783886490951968	0.0	0.0	0.405	0.0	14.0	0.39448550754225925	3.0	9000.0	1102.0	0.21428571428571427	0.12244444444444444
chr1	45965724	45976739	ENSG00000132763	45965723	45965724	11015	1.5	1	0.12927069418913698	0.0	0.0	1.755	0.0	10.0	0.6540607512240768	6.0	6200.0	982.0	0.6	0.15838709677419355
chr1	52811394	52831865	ENSG00000154222	52811393	52811394	20471	13.3	1	0.01866980033186941	1.0	0.0	0.917	0.0	1.0	0.6989700043360187	1.0	200.0	0.0	1.0	0.0
chr1	52838500	52870131	ENSG00000085840	52838499	52838500	31631	0.5	0	0.13398263936674765	0.0	0.0	0.881	1.0	1.0	0.6989700043360187	1.0	200.0	0.0	1.0	0.0
chr1	52870235	52886511	ENSG00000134748	52870234	52870235	16276	15.7	1	0.012076428542978442	0.0	0.0	0.408	0.0	1.0	0.6989700043360187	1.0	200.0	0.0	1.0	0.0
chr1	52873953	53019159	ENSG00000134744	52873952	52873953	145206	46.1	1	0.028164690508163576	1.0	1.0	0.107	0.0	1.0	0.6989700043360187	1.0	200.0	0.0	1.0	0.0
chr1	53308182	53360670	ENSG00000203995	53308181	53308182	52488	0.1	0	0.6038481729731419	0.0	0.0	0.976	0.0	3.0	0.6989700043360187	2.0	3200.0	0.0	0.6666666666666666	0.0
chr1	53527853	53551174	ENSG00000174348	53527852	53527853	23321	189.0	1	0.2146150767476508	0.0	0.0	1.019	0.0	15.0	0.767505252576035	12.0	18400.0	1562.0	0.8	0.08489130434782609
chr1	53552854	53608289	ENSG00000162383	53552853	53552854	55435	0.7	0	0.10348158984253232	0.0	0.0	1.311	0.0	15.0	0.767505252576035	12.0	18400.0	1562.0	0.8	0.08489130434782609
chr1	56960418	57110974	ENSG00000162407	56960417	56960418	150556	82.9	1	0.025655437066555226	0.0	0.0	0.383	0.0	12.0	0.5318537516787932	5.0	13600.0	2042.0	0.4166666666666667	0.1501470588235294
chr1	59246464	59249785	ENSG00000177606	59246463	59246464	3321	212.2	1	0.053709791291134484	0.0	0.0	1.02	0.0	96.0	0.6667484887159741	57.0	90800.0	12724.0	0.59375	0.14013215859030836
chr1	59762309	60233347	ENSG00000172456	59762308	59762309	471038	5.2	1	0.2515479561781938	0.0	0.0	1.215	0.0	96.0	0.6667484887159741	57.0	90800.0	12724.0	0.59375	0.14013215859030836
chr1	64936427	65158741	ENSG00000158966	64936426	64936427	222314	12.1	1	0.06019022886115955	0.0	0.0	0.572	0.0	32.0	0.7172150392495791	21.0	32800.0	3984.0	0.65625	0.12146341463414634
chr1	65210777	65298915	ENSG00000162437	65210776	65210777	88138	5.4	1	0.029015930108884324	0.0	0.0	0.814	0.0	2.0	0.6109243748081782	1.0	1000.0	41.0	0.5	0.041
chr1	68150743	68154021	ENSG00000116717	68150742	68150743	3278	48.1	1	0.12467621045395748	0.0	0.0	1.131	0.0	30.0	0.5897382739591239	13.0	22600.0	3162.0	0.43333333333333335	0.13991150442477876
chr1	68167148	68299150	ENSG00000172380	68167147	68167148	132002	29.0	1	0.027363048953956717	0.0	0.0	1.055	0.0	30.0	0.5897382739591239	13.0	22600.0	3162.0	0.43333333333333335	0.13991150442477876
chr1	71318035	71513491	ENSG00000050628	71318034	71318035	195456	1.6	1	0.11225314371534814	0.0	0.0	0.579	0.0	0.0		0.0				
chr1	79355448	79472403	ENSG00000162618	79355447	79355448	116955	4.5	1	0.06960234609523147	0.0	0.0	1.004	0.0	1.0	0.3979400086720376	0.0	400.0	111.0	0.0	0.2775
chr1	84764048	84855640	ENSG00000203943	84764047	84764048	91592	0.2	0	0.16229903164527154	0.0	0.0	1.418	0.0	1.0	0.6989700043360187	1.0	400.0	356.0	1.0	0.89
chr1	85109389	85156486	ENSG00000117155	85109388	85109389	47097	1.2	1	0.14202114777316388	0.0	0.0	0.794	0.0	0.0		0.0				
chr1	85784163	86043933	ENSG00000153904	85784162	85784163	259770	2.7	1	0.16257062846509918	0.0	0.0	0.952	0.0	35.0	0.6808377546228294	19.0	23800.0	3978.0	0.5428571428571428	0.16714285714285715
chr1	86046443	86049645	ENSG00000142871	86046442	86046443	3202	115.5	1	0.10956939395922577	0.0	0.0	0.45	0.0	35.0	0.6808377546228294	19.0	23800.0	3978.0	0.5428571428571428	0.16714285714285715
chr1	86115105	86174116	ENSG00000117174	86115104	86115105	59011	10.6	1	0.007150403169036994	0.0	0.0	1.161	1.0	35.0	0.6808377546228294	19.0	23800.0	3978.0	0.5428571428571428	0.16714285714285715
chr1	89597433	89641723	ENSG00000213512	89597432	89597433	44290	0.0	0	1.0000000000000002	0.0	0.0	1.177	0.0	6.0	0.3990799127604218	1.0	4200.0	25.0	0.16666666666666666	0.005952380952380952
chr1	89646830	89664615	ENSG00000162654	89646829	89646830	17785	5.8	1	0.08787104034126815	0.0	0.0	1.24	0.0	8.0	0.4520410282723609	2.0	5000.0	25.0	0.25	0.005
