chrom	start	end	target_gene	tss_start	tss_end	gene_length	ovary	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	14925199	15444539	ENSG00000189337	14925198	14925199	519340	16.9	1	0.16572770054075014	0.0	0.0	0.381	0.0	18.0	0.810280632877962	14.0	2984.0	180.0	0.7777777777777778	0.06032171581769437
chr1	23410515	23504301	ENSG00000169641	23410514	23410515	93786	0.5	0	0.054323145428416084	0.0	0.0	0.402	0.0	29.0	0.46414883429646264	8.0	5177.0	992.0	0.27586206896551724	0.19161676646706588
chr1	23516992	23521222	ENSG00000179546	23516991	23516992	4230	0.0	0	0.6535360832378236	0.0	0.0	1.296	0.0	29.0	0.46414883429646264	8.0	5177.0	992.0	0.27586206896551724	0.19161676646706588
chr1	24645811	24690972	ENSG00000158055	24645810	24645811	45161	0.0	0	0.8346636346178993	0.0	1.0	0.277	0.0	9.0	0.4090633722469501	2.0	1190.0	46.0	0.2222222222222222	0.03865546218487395
chr1	24683488	24743424	ENSG00000001460	24683487	24683488	59936	3.9	1	0.0572567126063331	0.0	0.0	1.339	0.0	9.0	0.4090633722469501	2.0	1190.0	46.0	0.2222222222222222	0.03865546218487395
chr1	24742283	24799466	ENSG00000001461	24742282	24742283	57183	4.4	1	0.11992147565712866	0.0	0.0	0.844	0.0	9.0	0.4090633722469501	2.0	1190.0	46.0	0.2222222222222222	0.03865546218487395
chr1	26286257	26324648	ENSG00000158006	26286256	26286257	38391	3.5	1	0.11371882885611022	0.0	0.0	1.113	0.0	12.0	0.38576421470867966	2.0	3797.0	181.0	0.16666666666666666	0.0476692125362128
chr1	40627044	40706593	ENSG00000117000	40627043	40627044	79549	8.1	1	0.0075329688176914876	0.0	1.0	0.04	0.0	11.0	0.3860124344040552	0.0	1717.0	454.0	0.0	0.2644146767617938
chr1	40723778	40759856	ENSG00000084073	40723777	40723778	36078	14.4	1	0.008294516222166596	1.0	0.0	1.327	0.0	11.0	0.3860124344040552	0.0	1717.0	454.0	0.0	0.2644146767617938
chr1	40766158	40783488	ENSG00000049089	40766157	40766158	17330	1.3	1	0.25722174593999897	0.0	0.0	0.636	0.0	11.0	0.3860124344040552	0.0	1717.0	454.0	0.0	0.2644146767617938
chr1	40810521	40888998	ENSG00000084070	40810520	40810521	78477	12.4	1	0.10535756836373324	0.0	0.0	0.553	0.0	11.0	0.3860124344040552	0.0	1717.0	454.0	0.0	0.2644146767617938
chr1	43282794	43310660	ENSG00000164010	43282793	43282794	27866	2.7	1	0.02224253492732874	0.0	0.0	1.167	0.0	5.0	0.5276724096855816	1.0	763.0	18.0	0.2	0.023591087811271297
chr1	43312279	43318148	ENSG00000164011	43312278	43312279	5869	10.4	1	0.027560745356784662	1.0	0.0	0.47	0.0	5.0	0.5276724096855816	1.0	763.0	18.0	0.2	0.023591087811271297
chr1	43735664	43739673	ENSG00000179178	43735663	43735664	4009	1.3	1	0.2686150557752293	0.0	0.0	1.965	0.0	37.0	0.509795891202522	11.0	6406.0	732.0	0.2972972972972973	0.11426787386824852
chr1	43747553	43751288	ENSG00000253313	43747552	43747553	3735	0.0	0	0.3461355937723353	0.0	0.0	1.907	0.0	37.0	0.509795891202522	11.0	6406.0	732.0	0.2972972972972973	0.11426787386824852
chr1	43766663	43788779	ENSG00000066056	43766662	43766663	22116	6.6	1	0.06042996771978903	0.0	0.0	0.885	0.0	37.0	0.509795891202522	11.0	6406.0	732.0	0.2972972972972973	0.11426787386824852
