chrom	start	end	target_gene	tss_start	tss_end	gene_length	spleen	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	1716728	1822495	ENSG00000078369	1716727	1716728	105767	105.0	1	0.04049145886717311	1.0	1.0	0.145	0.0	20.0	0.34814673970290605	3.0	30600.0	371.0	0.15	0.012124183006535947
chr1	1950779	1962192	ENSG00000187730	1950778	1950779	11413	0.3	0	0.5567640722499921	0.0	1.0	0.245	0.0	19.0	0.7238684957475894	13.0	21800.0	1334.0	0.6842105263157895	0.061192660550458716
chr1	1981908	2116834	ENSG00000067606	1981907	1981908	134926	10.3	1	0.08605372808685617	0.0	0.0	0.4	0.0	19.0	0.7238684957475894	13.0	21800.0	1334.0	0.6842105263157895	0.061192660550458716
chr1	2160133	2241558	ENSG00000157933	2160132	2160133	81425	22.5	1	0.009599752283246794	0.0	1.0	0.194	0.0	31.0	0.7182606518659588	21.0	50000.0	2087.0	0.6774193548387096	0.04174
chr1	2252691	2323146	ENSG00000116151	2252690	2252691	70455	1.9	1	0.053126021189200665	0.0	0.0	1.116	0.0	31.0	0.7182606518659588	21.0	50000.0	2087.0	0.6774193548387096	0.04174
chr1	2323266	2336883	ENSG00000157916	2323265	2323266	13617	105.6	1	0.034190496753689965	1.0	0.0	0.576	0.0	31.0	0.7182606518659588	21.0	50000.0	2087.0	0.6774193548387096	0.04174
chr1	6051525	6161253	ENSG00000069424	6051524	6051525	109728	70.2	1	0.16744430973489424	0.0	0.0	0.385	0.0	11.0	0.7836171598443994	8.0	8600.0	319.0	0.7272727272727273	0.037093023255813956
chr1	6581406	6614595	ENSG00000162408	6581405	6581406	33189	8.5	1	0.025355446524222364	0.0	0.0	0.549	1.0	20.0	0.5089784715066596	8.0	20800.0	2335.0	0.4	0.11225961538461539
chr1	6615240	6639817	ENSG00000173662	6615239	6615240	24577	0.5	0	0.2598995349562374	0.0	0.0	1.174	0.0	20.0	0.5089784715066596	8.0	20800.0	2335.0	0.4	0.11225961538461539
chr1	6640060	6649340	ENSG00000204859	6640059	6640060	9280	14.3	1	0.024015390489169973	0.0	0.0	0.644	0.0	20.0	0.5089784715066596	8.0	20800.0	2335.0	0.4	0.11225961538461539
