chrom	start	end	target_gene	tss_start	tss_end	gene_length	heart_left_ventricle	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	860259	879955	ENSG00000187634	860258	860259	19696	9.5	1	0.12350126280626375	0.0	0.0	1.28	0.0	0.0		0.0				
chr1	879583	894689	ENSG00000188976	879582	879583	15106	16.4	1	0.02813805755405806	1.0	0.0	1.327	1.0	0.0		0.0				
chr1	895966	901095	ENSG00000187961	895965	895966	5129	2.1	1	0.03296185270328346	0.0	0.0	1.259	0.0	0.0		0.0				
chr1	901876	911245	ENSG00000187583	901875	901876	9369	0.1	0	0.15014128255136114	0.0	0.0	1.124	0.0	0.0		0.0				
chr1	910578	917497	ENSG00000187642	910577	910578	6919	28.7	1	0.753719942899538	0.0	0.0	1.686	0.0	0.0		0.0				
chr1	934341	935552	ENSG00000188290	934340	934341	1211	10.3	1	0.05494124918339003	0.0	0.0	1.947	0.0	0.0		0.0				
chr1	948802	949920	ENSG00000187608	948801	948802	1118	22.2	1	0.0577807157613388	0.0	0.0	1.691	0.0	0.0		0.0				
chr1	955502	991496	ENSG00000188157	955501	955502	35994	5.3	1	0.07662163598284799	0.0	0.0	0.435	0.0	0.0		0.0				
chr1	1006345	1009687	ENSG00000237330	1006344	1006345	3342	0.0	0	0.6116394671613088	0.0	0.0	1.867	0.0	0.0		0.0				
chr1	1017197	1051741	ENSG00000131591	1017196	1017197	34544	2.1	1	0.0350843569310746	0.0	0.0	1.302	0.0	0.0		0.0				
chr1	1109263	1133315	ENSG00000162571	1109262	1109263	24052	0.0	0	0.4341804336342429	0.0	0.0	1.132	0.0	0.0		0.0				
chr1	1138887	1142071	ENSG00000186891	1138886	1138887	3184	0.2	0	0.15341014613203435	0.0	0.0	1.88	0.0	0.0		0.0				
chr1	1146705	1149518	ENSG00000186827	1146704	1146705	2813	2.9	1	0.14094498788800489	0.0	0.0	1.322	0.0	0.0		0.0				
chr1	1152287	1167411	ENSG00000078808	1152286	1152287	15124	68.6	1	0.02301323236009233	1.0	0.0	0.764	0.0	0.0		0.0				
chr1	1167628	1170421	ENSG00000176022	1167627	1167628	2793	4.5	1	0.015341059322390669	1.0	0.0	1.425	0.0	0.0		0.0				
chr1	1177825	1182102	ENSG00000184163	1177824	1177825	4277	0.2	0	0.3213146458159855	0.0	0.0	1.64	0.0	0.0		0.0				
chr1	1189288	1209265	ENSG00000160087	1189287	1189288	19977	15.0	1	0.01052625518433522	1.0	0.0	0.391	0.0	0.0		0.0				
chr1	1215815	1227409	ENSG00000162572	1215814	1215815	11594	2.8	1	0.053703670582197605	0.0	0.0	1.586	0.0	0.0		0.0				
chr1	1227755	1244989	ENSG00000131584	1227754	1227755	17234	10.8	1	0.08697046557430052	1.0	0.0	0.586	0.0	0.0		0.0				
chr1	1243946	1247057	ENSG00000169972	1243945	1243946	3111	5.2	1	0.008578627135460998	1.0	0.0	1.977	0.0	0.0		0.0				
chr1	1246964	1260071	ENSG00000127054	1246963	1246964	13107	18.7	1	0.01958053070980736	1.0	0.0	0.994	1.0	0.0		0.0				
chr1	1260135	1264277	ENSG00000224051	1260134	1260135	4142	35.6	1	0.06587792406339381	1.0	0.0	1.427	0.0	0.0		0.0				
chr1	1266693	1270686	ENSG00000169962	1266692	1266693	3993	0.5	0	0.1536367481977146	0.0	0.0	1.563	0.0	0.0		0.0				
chr1	1270655	1284730	ENSG00000107404	1270654	1270655	14075	27.7	1	0.07915659221580408	0.0	0.0	0.733	0.0	0.0		0.0				
chr1	1288068	1297157	ENSG00000162576	1288067	1288068	9089	23.3	1	0.09970083685104876	0.0	0.0	1.13	0.0	0.0		0.0				
chr1	1309109	1310875	ENSG00000175756	1309108	1309109	1766	98.1	1	0.04731436239213704	1.0	0.0	1.77	1.0	0.0		0.0				
chr1	1321090	1334708	ENSG00000221978	1321089	1321090	13618	29.7	1	0.0240371863491408	1.0	0.0	0.47	0.0	0.0		0.0				
chr1	1337287	1342693	ENSG00000242485	1337286	1337287	5406	80.9	1	0.02780990939072402	1.0	0.0	1.817	1.0	0.0		0.0				
chr1	1353799	1357149	ENSG00000235098	1353798	1353799	3350	1.7	1	0.1052702241817874	0.0	0.0	1.961	0.0	0.0		0.0				
chr1	1361507	1363167	ENSG00000205116	1361506	1361507	1660	0.0	0	0.6330070602023005	0.0	0.0	1.605	0.0	0.0		0.0				
chr1	1370240	1378262	ENSG00000179403	1370239	1370240	8022	20.3	1	0.0800134863804486	0.0	0.0	1.066	0.0	0.0		0.0				
chr1	1385068	1405538	ENSG00000215915	1385067	1385068	20470	0.5	0	0.11159851885878197	0.0	0.0	1.174	0.0	0.0		0.0				
chr1	1407142	1433228	ENSG00000160072	1407141	1407142	26086	3.6	1	0.015622338176309857	0.0	0.0	1.477	0.0	0.0		0.0				
chr1	1447530	1470067	ENSG00000197785	1447529	1447530	22537	9.3	1	0.029934030129077013	1.0	0.0	0.827	0.0	0.0		0.0				
chr1	1470553	1475833	ENSG00000205090	1470552	1470553	5280	3.2	1	0.20820520603823908	0.0	0.0	0.87	0.0	0.0		0.0				
