enh_chrom	enh_start	enh_end	sig_connect	in_same_tad	target_gene	gtex_tpm	hk	lof_intol	essential	rel_entropy	enh_rel_entropy	phastcons_overlap	tisspec_enh	enh_length	tissue
chr1	19718200	19720400	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.09691001300805636	0	0	2200	ovary
chr1	19721400	19721600	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.6989700043360187	0	1	200	ovary
chr1	19722000	19723200	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	1.0	79	1	1200	ovary
chr1	19730800	19733000	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.3979400086720376	299	0	2200	ovary
chr1	19734000	19735200	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	1.0	52	1	1200	ovary
chr1	19755200	19757600	1	1	ENSG00000173436	5.2	1.0	0.0	0.0	0.04258459524331211	0.09691001300805636	258	0	2400	ovary
chr1	22415400	22416400	1	1	ENSG00000169641	0.5	0.0	0.0	0.0	0.054323145428416084	0.6989700043360187	582	1	1000	ovary
chr1	22433800	22434000	1	1	ENSG00000169641	0.5	0.0	0.0	0.0	0.054323145428416084	1.0	0	1	200	ovary
chr1	22434400	22439400	1	1	ENSG00000169641	0.5	0.0	0.0	0.0	0.054323145428416084	1.0	1235	1	5000	ovary
chr1	23425400	23425600	1	1	ENSG00000179546	0.0	0.0	0.0	0.0	0.6535360832378236	0.5228787452803376	3	0	200	ovary
chr1	23438200	23439000	1	1	ENSG00000179546	0.0	0.0	0.0	0.0	0.6535360832378236	0.6989700043360187	62	1	800	ovary
chr1	23426000	23429800	1	1	ENSG00000179546	0.0	0.0	0.0	0.0	0.6535360832378236	1.0	221	1	3800	ovary
chr1	38069000	38069400	1	1	ENSG00000116954	16.1	0.0	1.0	0.0	0.003504639182767476	0.3979400086720376	0	0	400	ovary
chr1	38059800	38060800	1	1	ENSG00000116954	16.1	0.0	1.0	0.0	0.003504639182767476	0.04575749056067502	5	0	1000	ovary
chr1	39724000	39724600	1	1	ENSG00000090621	125.0	0.0	1.0	0.0	0.16767720751668844	0.5228787452803376	16	0	600	ovary
chr1	39734600	39735200	1	1	ENSG00000090621	125.0	0.0	1.0	0.0	0.16767720751668844	0.30102999566398103	330	0	600	ovary
chr1	39736000	39737800	1	1	ENSG00000090621	125.0	0.0	1.0	0.0	0.16767720751668844	0.5228787452803376	0	0	1800	ovary
chr1	39738200	39739000	1	1	ENSG00000090621	125.0	0.0	1.0	0.0	0.16767720751668844	1.0	136	1	800	ovary
chr1	39744400	39745000	1	1	ENSG00000090621	125.0	0.0	1.0	0.0	0.16767720751668844	0.6989700043360187	76	1	600	ovary
chr1	40606800	40607200	1	1	ENSG00000084070	12.4	0.0	0.0	0.0	0.10535756836373324	1.0	13	1	400	ovary
chr1	40629000	40629200	1	1	ENSG00000084070	12.4	0.0	0.0	0.0	0.10535756836373324	0.2218487496163564	0	0	200	ovary
chr1	40630800	40631800	1	1	ENSG00000084070	12.4	0.0	0.0	0.0	0.10535756836373324	1.0	65	1	1000	ovary
chr1	43401800	43403200	1	1	ENSG00000126106	10.9	0.0	0.0	0.0	0.08253764399048713	0.6989700043360187	153	1	1400	ovary
chr1	43428800	43429400	1	1	ENSG00000126106	10.9	0.0	0.0	0.0	0.08253764399048713	0.5228787452803376	38	0	600	ovary
chr1	61927200	61928000	1	1	ENSG00000162604	28.2	1.0	0.0	0.0	0.009439998883641032	1.0	277	1	800	ovary
chr1	61957000	61957800	1	1	ENSG00000162604	28.2	1.0	0.0	0.0	0.009439998883641032	0.6989700043360187	236	1	800	ovary
chr1	61959800	61960000	1	1	ENSG00000162604	28.2	1.0	0.0	0.0	0.009439998883641032	1.0	0	1	200	ovary
