enh_chrom	enh_start	enh_end	sig_connect	in_same_tad	target_gene	gtex_tpm	hk	lof_intol	essential	rel_entropy	enh_rel_entropy	phastcons_overlap	tisspec_enh	enh_length	tissue
chr1	8135400	8135600	1	1	ENSG00000162426	1.8	0.0	0.0	0.0	0.11791702662118138	1.0	0	1	200	small_intestine
chr1	8136200	8138600	1	1	ENSG00000162426	1.8	0.0	0.0	0.0	0.11791702662118138	0.30102999566398103	193	0	2400	small_intestine
chr1	8140400	8140800	1	1	ENSG00000162426	1.8	0.0	0.0	0.0	0.11791702662118138	1.0	0	1	400	small_intestine
chr1	8143200	8144000	1	1	ENSG00000162426	1.8	0.0	0.0	0.0	0.11791702662118138	1.0	224	1	800	small_intestine
chr1	8144400	8144600	1	1	ENSG00000162426	1.8	0.0	0.0	0.0	0.11791702662118138	1.0	0	1	200	small_intestine
chr1	8154200	8154600	1	1	ENSG00000162426	1.8	0.0	0.0	0.0	0.11791702662118138	0.6989700043360187	0	1	400	small_intestine
chr1	8155800	8157400	1	1	ENSG00000162426	1.8	0.0	0.0	0.0	0.11791702662118138	1.0	171	1	1600	small_intestine
chr1	15932600	15932800	1	1	ENSG00000215695	0.0	1.0	0.0	0.0	0.25158745769912005	0.6989700043360187	0	1	200	small_intestine
chr1	15943000	15943400	1	1	ENSG00000215695	0.0	1.0	0.0	0.0	0.25158745769912005	0.2218487496163564	41	0	400	small_intestine
chr1	15946000	15949000	1	1	ENSG00000215695	0.0	1.0	0.0	0.0	0.25158745769912005	1.0	418	1	3000	small_intestine
chr1	23364600	23364800	1	1	ENSG00000125944	40.7	1.0	1.0	0.0	0.00726380150912205	1.0	4	1	200	small_intestine
chr1	23365400	23366200	1	1	ENSG00000125944	40.7	1.0	1.0	0.0	0.00726380150912205	0.6989700043360187	20	1	800	small_intestine
chr1	23425000	23427400	1	1	ENSG00000125944	40.7	1.0	1.0	0.0	0.00726380150912205	1.0	42	1	2400	small_intestine
chr1	23435400	23436200	1	1	ENSG00000125944	40.7	1.0	1.0	0.0	0.00726380150912205	1.0	26	1	800	small_intestine
chr1	23436600	23436800	1	1	ENSG00000125944	40.7	1.0	1.0	0.0	0.00726380150912205	0.6989700043360187	0	1	200	small_intestine
chr1	23438000	23439000	1	1	ENSG00000125944	40.7	1.0	1.0	0.0	0.00726380150912205	0.6989700043360187	62	1	1000	small_intestine
chr1	23427800	23430800	1	1	ENSG00000125944	40.7	1.0	1.0	0.0	0.00726380150912205	0.6989700043360187	175	1	3000	small_intestine
chr1	23425000	23427400	1	1	ENSG00000179546	1.1	0.0	0.0	0.0	0.6535360832378236	1.0	42	1	2400	small_intestine
chr1	23435400	23436200	1	1	ENSG00000179546	1.1	0.0	0.0	0.0	0.6535360832378236	1.0	26	1	800	small_intestine
chr1	23436600	23436800	1	1	ENSG00000179546	1.1	0.0	0.0	0.0	0.6535360832378236	0.6989700043360187	0	1	200	small_intestine
chr1	23438000	23439000	1	1	ENSG00000179546	1.1	0.0	0.0	0.0	0.6535360832378236	0.6989700043360187	62	1	1000	small_intestine
chr1	23427800	23430800	1	1	ENSG00000179546	1.1	0.0	0.0	0.0	0.6535360832378236	0.6989700043360187	175	1	3000	small_intestine
chr1	26945800	26946200	1	1	ENSG00000060642	7.0	0.0	0.0	1.0	0.03376156148995752	0.6989700043360187	276	1	400	small_intestine
chr1	27004000	27004600	1	1	ENSG00000204160	12.9	0.0	0.0	0.0	0.026452579165281084	0.09691001300805636	269	0	600	small_intestine
chr1	27016600	27016800	1	1	ENSG00000204160	12.9	0.0	0.0	0.0	0.026452579165281084	0.6989700043360187	110	1	200	small_intestine
chr1	27018400	27018800	1	1	ENSG00000204160	12.9	0.0	0.0	0.0	0.026452579165281084	0.5228787452803376	53	0	400	small_intestine
chr1	27020000	27021600	1	1	ENSG00000204160	12.9	0.0	0.0	0.0	0.026452579165281084	0.04575749056067502	630	0	1600	small_intestine
chr1	27039000	27039600	1	1	ENSG00000204160	12.9	0.0	0.0	0.0	0.026452579165281084	0.30102999566398103	19	0	600	small_intestine
chr1	27032000	27034800	1	1	ENSG00000204160	12.9	0.0	0.0	0.0	0.026452579165281084	0.6989700043360187	855	1	2800	small_intestine
