chrom	start	end	target_gene	tss_start	tss_end	gene_length	small_intestine	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	9352938	9429591	ENSG00000171621	9352937	9352938	76653	25.8	1	0.08178002888575657	0.0	0.0	0.594	0.0	25.0	0.5317683284040672	10.0	25000.0	2728.0	0.4	0.10912
chr1	16573333	16678949	ENSG00000037637	16573332	16573333	105616	10.2	1	0.013987202434530341	1.0	1.0	0.274	0.0	6.0	0.5079486650563124	2.0	8800.0	1762.0	0.3333333333333333	0.20022727272727273
chr1	16679069	16724640	ENSG00000055070	16679068	16679069	45571	45.7	1	0.025758478194814804	1.0	0.0	0.672	0.0	6.0	0.5079486650563124	2.0	8800.0	1762.0	0.3333333333333333	0.20022727272727273
chr1	19665266	19812066	ENSG00000077549	19665265	19665266	146800	32.6	1	0.16963323404242808	1.0	0.0	0.379	0.0	13.0	0.5521634644222764	6.0	20800.0	1943.0	0.46153846153846156	0.09341346153846154
chr1	19923476	19956314	ENSG00000173436	19923475	19923476	32838	5.4	1	0.04258459524331211	1.0	0.0	0.584	0.0	39.0	0.6724593924739534	25.0	53400.0	4858.0	0.6410256410256411	0.09097378277153557
chr1	20512577	20522541	ENSG00000162543	20512576	20512577	9964	1.8	1	0.10840065994933924	0.0	0.0	1.129	0.0	6.0	0.46508083090956154	1.0	3800.0	662.0	0.16666666666666666	0.17421052631578948
chr1	20617411	20681387	ENSG00000158816	20617410	20617411	63976	0.0	0	0.8346636346178993	0.0	0.0	1.272	0.0	6.0	0.46508083090956154	1.0	3800.0	662.0	0.16666666666666666	0.17421052631578948
chr1	23410515	23504301	ENSG00000169641	23410514	23410515	93786	1.0	0	0.054323145428416084	0.0	0.0	0.402	0.0	16.0	0.7085304705990527	10.0	20600.0	1184.0	0.625	0.05747572815533981
chr1	23516992	23521222	ENSG00000179546	23516991	23516992	4230	1.1	1	0.6535360832378236	0.0	0.0	1.296	0.0	16.0	0.7085304705990527	10.0	20600.0	1184.0	0.625	0.05747572815533981
chr1	24480646	24514449	ENSG00000185436	24480645	24480646	33803	5.3	1	0.09427250551235962	0.0	0.0	0.763	0.0	13.0	0.6308199577343399	6.0	9600.0	1625.0	0.46153846153846156	0.16927083333333334
