chrom	start	end	target_gene	tss_start	tss_end	gene_length	pancreas	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	3370989	3397677	ENSG00000130762	3370988	3370989	26688	4.4	1	0.224759886593224	0.0	0.0	1.018	0.0	8.0	0.5565589279425271	5.0	7600.0	105.0	0.625	0.01381578947368421
chr1	3406483	3528059	ENSG00000162591	3406482	3406483	121576	2.7	1	0.06646419432119048	0.0	0.0	0.908	0.0	8.0	0.5565589279425271	5.0	7600.0	105.0	0.625	0.01381578947368421
chr1	3773844	3801993	ENSG00000169598	3773843	3773844	28149	0.4	0	0.03808182208037007	0.0	0.0	1.08	0.0	5.0	0.49897000433601874	2.0	4800.0	120.0	0.4	0.025
chr1	3805688	3816857	ENSG00000198912	3805687	3805688	11169	5.8	1	0.010453829962775649	1.0	0.0	1.405	0.0	5.0	0.49897000433601874	2.0	4800.0	120.0	0.4	0.025
chr1	4714791	4852594	ENSG00000196581	4714790	4714791	137803	0.9	0	0.18021052124287731	0.0	1.0	0.192	0.0	8.0	0.8274735947860492	7.0	4200.0	680.0	0.875	0.1619047619047619
chr1	8064463	8086368	ENSG00000116285	8064462	8064463	21905	162.1	1	0.21435170687689495	0.0	0.0	0.881	0.0	50.0	0.6956443761450294	32.0	50200.0	2923.0	0.64	0.058227091633466135
chr1	8377885	8404227	ENSG00000162426	8377884	8377885	26342	0.2	0	0.11791702662118138	0.0	0.0	0.745	0.0	120.0	0.6184508996373339	65.0	112200.0	6437.0	0.5416666666666666	0.05737076648841355
chr1	8412456	8877702	ENSG00000142599	8412455	8412456	465246	14.3	1	0.05904072753930298	0.0	1.0	0.12	0.0	120.0	0.6184508996373339	65.0	112200.0	6437.0	0.5416666666666666	0.05737076648841355
chr1	8921060	8939308	ENSG00000074800	8921059	8921060	18248	92.2	1	0.01458383680138749	0.0	0.0	0.864	1.0	11.0	0.544027728315771	5.0	5600.0	71.0	0.45454545454545453	0.012678571428571428
chr1	9063358	9086404	ENSG00000197241	9063357	9063358	23046	0.0	0	0.6535360832378236	0.0	0.0	1.669	0.0	6.0	0.619449795216075	4.0	4400.0	639.0	0.6666666666666666	0.14522727272727273
chr1	9095165	9148537	ENSG00000142583	9095164	9095165	53372	0.2	0	0.2773553363728697	0.0	0.0	1.191	0.0	6.0	0.619449795216075	4.0	4400.0	639.0	0.6666666666666666	0.14522727272727273
chr1	9599540	9645237	ENSG00000171612	9599539	9599540	45697	1.1	1	0.1096472926809236	0.0	0.0	0.825	0.0	35.0	0.6293867562771956	19.0	37400.0	2005.0	0.5428571428571428	0.0536096256684492
chr1	10270862	10441661	ENSG00000054523	10270861	10270862	170799	5.3	1	0.2099452749424318	0.0	1.0	0.171	0.0	7.0	0.5553421426379179	4.0	5200.0	137.0	0.5714285714285714	0.026346153846153846
chr1	11539222	11597641	ENSG00000204624	11539221	11539222	58419	0.1	0	0.4711625286950651	0.0	0.0	0.548	0.0	8.0	0.9247425010840047	8.0	3400.0	585.0	1.0	0.17205882352941176
chr1	12627938	12677737	ENSG00000162496	12627937	12627938	49799	0.0	0	0.10403015526466948	0.0	0.0	0.674	0.0	48.0	0.6197327029328229	27.0	54200.0	8453.0	0.5625	0.15595940959409593
chr1	12704565	12727097	ENSG00000204518	12704564	12704565	22532	0.0	0	0.6941127267919259	0.0	0.0	1.679	0.0	48.0	0.6197327029328229	27.0	54200.0	8453.0	0.5625	0.15595940959409593
chr1	14925199	15444539	ENSG00000189337	14925198	14925199	519340	3.7	1	0.16572770054075014	0.0	0.0	0.381	0.0	20.0	0.8168243764792422	17.0	18000.0	910.0	0.85	0.050555555555555555
chr1	15479027	15546976	ENSG00000171729	15479026	15479027	67949	17.7	1	0.1012273031421312	0.0	0.0	0.765	0.0	23.0	0.8614612514915002	20.0	33800.0	614.0	0.8695652173913043	0.018165680473372782
chr1	15736390	15756839	ENSG00000142634	15736389	15736390	20449	30.3	1	0.06290137009651364	0.0	0.0	1.275	0.0	20.0	0.6984255372145125	13.0	27600.0	1503.0	0.65	0.05445652173913044
chr1	15764934	15775737	ENSG00000162438	15764933	15764934	10803	8790.0	1	0.9953839681956808	0.0	0.0	1.692	0.0	20.0	0.6984255372145125	13.0	27600.0	1503.0	0.65	0.05445652173913044
chr1	15986363	15988217	ENSG00000215695	15986362	15986363	1854	0.0	0	0.25158745769912005	1.0	0.0	1.522	0.0	18.0	0.5183839766307065	6.0	18800.0	1201.0	0.3333333333333333	0.06388297872340426
chr1	16010826	16061264	ENSG00000116786	16010825	16010826	50438	11.4	1	0.07352016910895053	0.0	0.0	0.541	0.0	18.0	0.5183839766307065	6.0	18800.0	1201.0	0.3333333333333333	0.06388297872340426
chr1	16062899	16067891	ENSG00000162461	16062898	16062899	4992	1.8	1	0.16024641024893882	0.0	0.0	1.345	0.0	18.0	0.5183839766307065	6.0	18800.0	1201.0	0.3333333333333333	0.06388297872340426
chr1	16068916	16074477	ENSG00000162460	16068915	16068916	5561	0.0	0	0.6446407430412442	0.0	0.0	1.409	0.0	18.0	0.5183839766307065	6.0	18800.0	1201.0	0.3333333333333333	0.06388297872340426
chr1	16083101	16113089	ENSG00000162458	16083100	16083101	29988	6.3	1	0.09544928076249147	0.0	0.0	1.254	0.0	18.0	0.5183839766307065	6.0	18800.0	1201.0	0.3333333333333333	0.06388297872340426
chr1	16268363	16302627	ENSG00000116809	16268362	16268363	34264	9.3	1	0.007685736075891235	1.0	1.0	0.309	1.0	8.0	0.4194451763165201	2.0	7800.0	837.0	0.25	0.10730769230769231
chr1	16558194	16563657	ENSG00000132881	16558193	16558194	5463	1.7	1	0.04008951326617734	0.0	0.0	1.626	0.0	8.0	0.4364236861963235	2.0	5400.0	927.0	0.25	0.17166666666666666
chr1	16573333	16678949	ENSG00000037637	16573332	16573333	105616	4.7	1	0.013987202434530341	1.0	1.0	0.274	0.0	8.0	0.4364236861963235	2.0	5400.0	927.0	0.25	0.17166666666666666
chr1	18434239	18704977	ENSG00000117154	18434238	18434239	270738	0.3	0	0.3546752091876996	0.0	0.0	0.525	0.0	7.0	0.9569957149051456	7.0	4000.0	264.0	1.0	0.066
chr1	18957499	19075360	ENSG00000009709	18957498	18957499	117861	0.0	0	0.5561742893070402	0.0	0.0	0.558	0.0	8.0	1.0	8.0	4800.0	1405.0	1.0	0.29270833333333335
chr1	19230774	19283180	ENSG00000169991	19230773	19230774	52406	7.4	1	0.04579335389665255	0.0	0.0	0.42	0.0	13.0	0.6417943810857807	6.0	19200.0	1271.0	0.46153846153846156	0.06619791666666666
chr1	19542157	19578046	ENSG00000127463	19542156	19542157	35889	3.4	1	0.018300840904622702	1.0	0.0	1.009	1.0	6.0	0.33071750191224697	0.0	4400.0	32.0	0.0	0.007272727272727273
chr1	19578032	19586622	ENSG00000053372	19578031	19578032	8590	9.6	1	0.01718983473105039	1.0	1.0	0.23	1.0	6.0	0.33071750191224697	0.0	4400.0	32.0	0.0	0.007272727272727273
chr1	19923476	19956314	ENSG00000173436	19923475	19923476	32838	1.8	1	0.04258459524331211	1.0	0.0	0.584	0.0	25.0	0.48332995211661794	9.0	30200.0	2158.0	0.36	0.07145695364238411
