enh_chrom	enh_start	enh_end	sig_connect	in_same_tad	target_gene	gtex_tpm	hk	lof_intol	essential	rel_entropy	enh_rel_entropy	phastcons_overlap	tisspec_enh	enh_length	tissue
chr1	1486000	1486600	1	1	ENSG00000008130	43.0	0.0	0.0	0.0	0.06391111942489254	0.30102999566398103	0	0	600	lung
chr1	1490000	1490600	1	1	ENSG00000008130	43.0	0.0	0.0	0.0	0.06391111942489254	0.5228787452803376	0	0	600	lung
chr1	1511000	1511200	1	1	ENSG00000008130	43.0	0.0	0.0	0.0	0.06391111942489254	0.3979400086720376	0	0	200	lung
chr1	1486000	1486600	1	1	ENSG00000078369	150.8	1.0	1.0	0.0	0.04049145886717311	0.30102999566398103	0	0	600	lung
chr1	1490000	1490600	1	1	ENSG00000078369	150.8	1.0	1.0	0.0	0.04049145886717311	0.5228787452803376	0	0	600	lung
chr1	1511000	1511200	1	1	ENSG00000078369	150.8	1.0	1.0	0.0	0.04049145886717311	0.3979400086720376	0	0	200	lung
chr1	1565600	1565800	1	1	ENSG00000215790	1.8	0.0	0.0	0.0	0.011494580228834957	0.5228787452803376	167	0	200	lung
chr1	2120800	2121200	1	1	ENSG00000157916	94.5	1.0	0.0	0.0	0.034190496753689965	1.0	31	1	400	lung
chr1	2122000	2123000	1	1	ENSG00000157916	94.5	1.0	0.0	0.0	0.034190496753689965	0.5228787452803376	0	0	1000	lung
chr1	2123600	2124200	1	1	ENSG00000157916	94.5	1.0	0.0	0.0	0.034190496753689965	0.30102999566398103	0	0	600	lung
chr1	2125000	2126000	1	1	ENSG00000157916	94.5	1.0	0.0	0.0	0.034190496753689965	0.6989700043360187	114	1	1000	lung
chr1	2127000	2127800	1	1	ENSG00000157916	94.5	1.0	0.0	0.0	0.034190496753689965	0.1549019599857432	22	0	800	lung
chr1	2130200	2130800	1	1	ENSG00000157916	94.5	1.0	0.0	0.0	0.034190496753689965	0.09691001300805636	60	0	600	lung
chr1	2131200	2132800	1	1	ENSG00000157916	94.5	1.0	0.0	0.0	0.034190496753689965	1.0	241	1	1600	lung
chr1	2135400	2137800	1	1	ENSG00000157916	94.5	1.0	0.0	0.0	0.034190496753689965	0.30102999566398103	20	0	2400	lung
chr1	2138200	2141400	1	1	ENSG00000157916	94.5	1.0	0.0	0.0	0.034190496753689965	0.6989700043360187	158	1	3200	lung
chr1	2148200	2148400	1	1	ENSG00000157916	94.5	1.0	0.0	0.0	0.034190496753689965	1.0	0	1	200	lung
chr1	2156000	2156400	1	1	ENSG00000157916	94.5	1.0	0.0	0.0	0.034190496753689965	0.6989700043360187	0	1	400	lung
chr1	2158000	2158200	1	1	ENSG00000157916	94.5	1.0	0.0	0.0	0.034190496753689965	0.0	0	0	200	lung
chr1	2143600	2147000	1	1	ENSG00000157916	94.5	1.0	0.0	0.0	0.034190496753689965	0.3979400086720376	281	0	3400	lung
chr1	2120800	2121200	1	1	ENSG00000157911	10.3	0.0	0.0	0.0	0.03165460112816533	1.0	31	1	400	lung
chr1	2122000	2123000	1	1	ENSG00000157911	10.3	0.0	0.0	0.0	0.03165460112816533	0.5228787452803376	0	0	1000	lung
chr1	2123600	2124200	1	1	ENSG00000157911	10.3	0.0	0.0	0.0	0.03165460112816533	0.30102999566398103	0	0	600	lung
chr1	2125000	2126000	1	1	ENSG00000157911	10.3	0.0	0.0	0.0	0.03165460112816533	0.6989700043360187	114	1	1000	lung
chr1	2127000	2127800	1	1	ENSG00000157911	10.3	0.0	0.0	0.0	0.03165460112816533	0.1549019599857432	22	0	800	lung
chr1	2130200	2130800	1	1	ENSG00000157911	10.3	0.0	0.0	0.0	0.03165460112816533	0.09691001300805636	60	0	600	lung
chr1	2131200	2132800	1	1	ENSG00000157911	10.3	0.0	0.0	0.0	0.03165460112816533	1.0	241	1	1600	lung
chr1	2135400	2137800	1	1	ENSG00000157911	10.3	0.0	0.0	0.0	0.03165460112816533	0.30102999566398103	20	0	2400	lung
chr1	2138200	2141400	1	1	ENSG00000157911	10.3	0.0	0.0	0.0	0.03165460112816533	0.6989700043360187	158	1	3200	lung
chr1	2148200	2148400	1	1	ENSG00000157911	10.3	0.0	0.0	0.0	0.03165460112816533	1.0	0	1	200	lung
