chrom	start	end	target_gene	tss_start	tss_end	gene_length	pancreas	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	3370989	3397677	ENSG00000130762	3370988	3370989	26688	4.4	1	0.224759886593224	0.0	0.0	1.018	0.0	9.0	0.5196847505740594	2.0	2209.0	53.0	0.2222222222222222	0.02399275690357628
chr1	3406483	3528059	ENSG00000162591	3406482	3406483	121576	2.7	1	0.06646419432119048	0.0	0.0	0.908	0.0	9.0	0.5196847505740594	2.0	2209.0	53.0	0.2222222222222222	0.02399275690357628
chr1	3773844	3801993	ENSG00000169598	3773843	3773844	28149	0.4	0	0.03808182208037007	0.0	0.0	1.08	0.0	4.0	0.4818567186864489	1.0	2209.0	225.0	0.25	0.10185604345857854
chr1	3805688	3816857	ENSG00000198912	3805687	3805688	11169	5.8	1	0.010453829962775649	1.0	0.0	1.405	0.0	4.0	0.4818567186864489	1.0	2209.0	225.0	0.25	0.10185604345857854
chr1	4714791	4852594	ENSG00000196581	4714790	4714791	137803	0.9	0	0.18021052124287731	0.0	1.0	0.192	0.0	0.0		0.0				
chr1	8064463	8086368	ENSG00000116285	8064462	8064463	21905	162.1	1	0.21435170687689495	0.0	0.0	0.881	0.0	47.0	0.36918422055142025	5.0	16795.0	1676.0	0.10638297872340426	0.09979160464423936
chr1	8377885	8404227	ENSG00000162426	8377884	8377885	26342	0.2	0	0.11791702662118138	0.0	0.0	0.745	0.0	101.0	0.366697438146864	19.0	30337.0	3285.0	0.18811881188118812	0.10828361406862906
chr1	8412456	8877702	ENSG00000142599	8412455	8412456	465246	14.3	1	0.05904072753930298	0.0	1.0	0.12	0.0	101.0	0.366697438146864	19.0	30337.0	3285.0	0.18811881188118812	0.10828361406862906
chr1	8921060	8939308	ENSG00000074800	8921059	8921060	18248	92.2	1	0.01458383680138749	0.0	0.0	0.864	1.0	7.0	0.4771321876131292	2.0	3111.0	652.0	0.2857142857142857	0.20957891353262617
chr1	9063358	9086404	ENSG00000197241	9063357	9063358	23046	0.0	0	0.6535360832378236	0.0	0.0	1.669	0.0	1.0	0.25277826369078593	0.0	150.0	8.0	0.0	0.05333333333333334
chr1	9095165	9148537	ENSG00000142583	9095164	9095165	53372	0.2	0	0.2773553363728697	0.0	0.0	1.191	0.0	1.0	0.25277826369078593	0.0	150.0	8.0	0.0	0.05333333333333334
chr1	9599540	9645237	ENSG00000171612	9599539	9599540	45697	1.1	1	0.1096472926809236	0.0	0.0	0.825	0.0	22.0	0.4743848042735191	8.0	9852.0	806.0	0.36363636363636365	0.08181079983759643
