chrom	start	end	target_gene	tss_start	tss_end	gene_length	liver	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	7831328	7841492	ENSG00000049245	7831327	7831328	10164	14.6	1	0.014368183915860644	1.0	0.0	1.269	0.0	3.0	0.7294974790142504	2.0	1316.0	0.0	0.6666666666666666	0.0
chr1	7844379	7905237	ENSG00000049246	7844378	7844379	60858	6.2	1	0.03256398208300736	0.0	0.0	0.841	0.0	3.0	0.7294974790142504	2.0	1316.0	0.0	0.6666666666666666	0.0
chr1	7903142	7913572	ENSG00000049247	7903141	7903142	10430	0.0	0	0.2763190691342407	0.0	0.0	1.271	0.0	3.0	0.7294974790142504	2.0	1316.0	0.0	0.6666666666666666	0.0
chr1	8377885	8404227	ENSG00000162426	8377884	8377885	26342	0.1	0	0.11791702662118138	0.0	0.0	0.745	0.0	38.0	0.47971447518038157	11.0	18492.0	1811.0	0.2894736842105263	0.09793424183430673
chr1	9352938	9429591	ENSG00000171621	9352937	9352938	76653	20.6	1	0.08178002888575657	0.0	0.0	0.594	0.0	36.0	0.5304913601499558	16.0	17107.0	1709.0	0.4444444444444444	0.09990062547495178
chr1	9599540	9645237	ENSG00000171612	9599539	9599540	45697	5.0	1	0.1096472926809236	0.0	0.0	0.825	0.0	33.0	0.5192113796371367	14.0	16223.0	1442.0	0.42424242424242425	0.08888614929421192
chr1	9711789	9789172	ENSG00000171608	9711788	9711789	77383	1.6	1	0.15767955545172044	0.0	1.0	0.196	0.0	5.0	0.5854853749491593	2.0	2466.0	487.0	0.4	0.19748580697485807
chr1	9789083	9884584	ENSG00000171603	9789082	9789083	95501	2.7	1	0.10281529927715907	0.0	1.0	0.308	0.0	5.0	0.5854853749491593	2.0	2466.0	487.0	0.4	0.19748580697485807
chr1	9908333	9970394	ENSG00000178585	9908332	9908333	62061	6.1	1	0.028887984494568062	1.0	0.0	1.383	0.0	6.0	0.6035563257384031	3.0	2497.0	154.0	0.5	0.06167400881057269
chr1	9982172	10003465	ENSG00000162441	9982171	9982172	21293	6.7	1	0.01610787477627696	0.0	0.0	1.14	0.0	5.0	0.34675927932703915	0.0	2802.0	181.0	0.0	0.06459671663097788
chr1	10003485	10045559	ENSG00000173614	10003484	10003485	42074	3.1	1	0.03954068247985031	0.0	0.0	0.877	0.0	5.0	0.34675927932703915	0.0	2802.0	181.0	0.0	0.06459671663097788
chr1	10057263	10076078	ENSG00000162444	10057262	10057263	18815	2.9	1	0.18797226467066155	0.0	0.0	0.732	0.0	9.0	0.36434448402529335	1.0	5888.0	269.0	0.1111111111111111	0.045686141304347824
chr1	10092889	10241297	ENSG00000130939	10092888	10092889	148408	3.0	1	0.05707837884751232	1.0	1.0	0.157	0.0	9.0	0.36434448402529335	1.0	5888.0	269.0	0.1111111111111111	0.045686141304347824
chr1	10270862	10441661	ENSG00000054523	10270861	10270862	170799	4.9	1	0.2099452749424318	0.0	1.0	0.171	0.0	6.0	0.40153633430945046	2.0	2597.0	103.0	0.3333333333333333	0.039661147477859066
chr1	10696660	10856707	ENSG00000130940	10696659	10696660	160047	1.1	1	0.21139872517974895	0.0	1.0	0.152	0.0	23.0	0.6043257210950351	12.0	11018.0	1746.0	0.5217391304347826	0.1584679615175168
chr1	12227059	12269285	ENSG00000028137	12227058	12227059	42226	6.8	1	0.10564271959515432	0.0	0.0	0.476	0.0	17.0	0.4437053926283275	4.0	5604.0	662.0	0.23529411764705882	0.11812990720913633
chr1	12290123	12572099	ENSG00000048707	12290122	12290123	281976	3.3	1	0.01790190155322375	0.0	1.0	0.332	1.0	17.0	0.4437053926283275	4.0	5604.0	662.0	0.23529411764705882	0.11812990720913633
chr1	12627938	12677737	ENSG00000162496	12627937	12627938	49799	0.3	0	0.10403015526466948	0.0	0.0	0.674	0.0	47.0	0.40740130975564365	12.0	24381.0	4061.0	0.2553191489361702	0.16656412780443788
chr1	12704565	12727097	ENSG00000204518	12704564	12704565	22532	0.0	0	0.6941127267919259	0.0	0.0	1.679	0.0	47.0	0.40740130975564365	12.0	24381.0	4061.0	0.2553191489361702	0.16656412780443788
chr1	14026692	14151574	ENSG00000116731	14026691	14026692	124882	5.3	1	0.02846749900095536	0.0	1.0	0.222	0.0	8.0	0.5731314239754146	3.0	4017.0	135.0	0.375	0.033607169529499624
chr1	14925199	15444539	ENSG00000189337	14925198	14925199	519340	2.4	1	0.16572770054075014	0.0	0.0	0.381	0.0	0.0		0.0				
chr1	15479027	15546976	ENSG00000171729	15479026	15479027	67949	1.7	1	0.1012273031421312	0.0	0.0	0.765	0.0	29.0	0.46019048431639586	7.0	12741.0	461.0	0.2413793103448276	0.03618240326504984
chr1	15573767	15726779	ENSG00000142621	15573766	15573767	153012	0.0	0	0.23011697559926395	0.0	0.0	1.346	0.0	29.0	0.46019048431639586	7.0	12741.0	461.0	0.2413793103448276	0.03618240326504984
chr1	15943994	15995539	ENSG00000197312	15943993	15943994	51545	6.7	1	0.08322525021923176	0.0	1.0	0.208	1.0	13.0	0.5854397652774683	6.0	5805.0	687.0	0.46153846153846156	0.11834625322997416
chr1	15986363	15988217	ENSG00000215695	15986362	15986363	1854	0.5	0	0.25158745769912005	1.0	0.0	1.522	0.0	13.0	0.5854397652774683	6.0	5805.0	687.0	0.46153846153846156	0.11834625322997416
chr1	16010826	16061264	ENSG00000116786	16010825	16010826	50438	8.8	1	0.07352016910895053	0.0	0.0	0.541	0.0	13.0	0.5854397652774683	6.0	5805.0	687.0	0.46153846153846156	0.11834625322997416
chr1	16174358	16266955	ENSG00000065526	16174357	16174358	92597	4.5	1	0.01544478707074131	1.0	1.0	0.071	0.0	15.0	0.36367427860457463	4.0	7828.0	1757.0	0.26666666666666666	0.22445068983137456
chr1	16268363	16302627	ENSG00000116809	16268362	16268363	34264	6.9	1	0.007685736075891235	1.0	1.0	0.309	1.0	15.0	0.36367427860457463	4.0	7828.0	1757.0	0.26666666666666666	0.22445068983137456
chr1	16558194	16563657	ENSG00000132881	16558193	16558194	5463	1.3	1	0.04008951326617734	0.0	0.0	1.626	0.0	4.0	0.40533448860760457	0.0	1372.0	202.0	0.0	0.14723032069970846
chr1	16573333	16678949	ENSG00000037637	16573332	16573333	105616	5.7	1	0.013987202434530341	1.0	1.0	0.274	0.0	4.0	0.40533448860760457	0.0	1372.0	202.0	0.0	0.14723032069970846
chr1	16679069	16724640	ENSG00000055070	16679068	16679069	45571	19.8	1	0.025758478194814804	1.0	0.0	0.672	0.0	7.0	0.3749712605734556	0.0	2515.0	212.0	0.0	0.08429423459244532
chr1	18807423	18812478	ENSG00000179023	18807422	18807423	5055	1.8	1	0.5278538466290273	0.0	0.0	1.598	0.0	1.0	0.4218703473642241	0.0	394.0	0.0	0.0	0.0
chr1	18957499	19075360	ENSG00000009709	18957498	18957499	117861	0.0	0	0.5561742893070402	0.0	0.0	0.558	0.0	0.0		0.0				
chr1	19230774	19283180	ENSG00000169991	19230773	19230774	52406	2.5	1	0.04579335389665255	0.0	0.0	0.42	0.0	39.0	0.7143336847939258	24.0	19211.0	3306.0	0.6153846153846154	0.1720889073968039
chr1	19400999	19536770	ENSG00000127481	19400998	19400999	135771	23.6	1	0.02221019611099524	0.0	1.0	0.095	1.0	38.0	0.7144231192968683	23.0	18928.0	3214.0	0.6052631578947368	0.16980135249366018
chr1	19923476	19956314	ENSG00000173436	19923475	19923476	32838	1.4	1	0.04258459524331211	1.0	0.0	0.584	0.0	28.0	0.27236663322575533	4.0	13150.0	1539.0	0.14285714285714285	0.11703422053231939
chr1	19967047	19984945	ENSG00000158747	19967046	19967047	17898	2.8	1	0.14015894486695946	0.0	0.0	1.023	0.0	28.0	0.27236663322575533	4.0	13150.0	1539.0	0.14285714285714285	0.11703422053231939
chr1	20301924	20306932	ENSG00000188257	20301923	20301924	5008	150.1	1	0.2948839395651715	0.0	0.0	1.292	0.0	9.0	0.5715465084232756	4.0	4131.0	28.0	0.4444444444444444	0.006778019849915275
chr1	20354671	20417683	ENSG00000127472	20354670	20354671	63012	2.4	1	0.32799373176247504	0.0	0.0	1.57	0.0	9.0	0.5715465084232756	4.0	4131.0	28.0	0.4444444444444444	0.006778019849915275
chr1	20438431	20446050	ENSG00000117215	20438430	20438431	7619	0.0	0	0.3874819248405741	0.0	0.0	1.786	0.0	12.0	0.6163914032916888	6.0	4994.0	114.0	0.5	0.022827392871445733
chr1	20487745	20503917	ENSG00000187980	20487744	20487745	16172	0.0	0	0.6535360832378236	0.0	0.0	1.218	0.0	12.0	0.6163914032916888	6.0	4994.0	114.0	0.5	0.022827392871445733
chr1	20512577	20522541	ENSG00000162543	20512576	20512577	9964	1.5	1	0.10840065994933924	0.0	0.0	1.129	0.0	4.0	0.6263891318453929	2.0	1259.0	92.0	0.5	0.07307386814932486
chr1	20617411	20681387	ENSG00000158816	20617410	20617411	63976	0.0	0	0.8346636346178993	0.0	0.0	1.272	0.0	0.0		0.0				
chr1	20915440	20945401	ENSG00000158825	20915439	20915440	29961	24.4	1	0.20912862339761548	0.0	0.0	1.318	0.0	9.0	0.8527387345616677	7.0	5381.0	149.0	0.7777777777777778	0.02769002044229697
chr1	20959947	20978004	ENSG00000158828	20959946	20959947	18057	33.1	1	0.15905305441481132	1.0	0.0	1.136	0.0	9.0	0.8527387345616677	7.0	5381.0	149.0	0.7777777777777778	0.02769002044229697
chr1	20978269	20988000	ENSG00000244038	20978268	20978269	9731	61.5	1	0.03523610518957517	1.0	0.0	0.731	1.0	9.0	0.8527387345616677	7.0	5381.0	149.0	0.7777777777777778	0.02769002044229697
chr1	21132962	21503377	ENSG00000075151	21132961	21132962	370415	4.3	1	0.025762731429332563	1.0	1.0	0.112	0.0	4.0	0.7176638371343586	2.0	1570.0	20.0	0.5	0.012738853503184714
chr1	21766620	21811498	ENSG00000142794	21766619	21766620	44878	0.5	0	0.01804510807430667	0.0	0.0	1.151	0.0	14.0	0.4997021504793344	5.0	6993.0	515.0	0.35714285714285715	0.07364507364507364
chr1	21835857	21904905	ENSG00000162551	21835856	21835857	69048	10.2	1	0.14747390331529855	0.0	0.0	0.693	0.0	14.0	0.4997021504793344	5.0	6993.0	515.0	0.35714285714285715	0.07364507364507364
chr1	21922707	21995801	ENSG00000076864	21922706	21922707	73094	18.4	1	0.2427496894060525	0.0	1.0	0.349	0.0	14.0	0.4997021504793344	5.0	6993.0	515.0	0.35714285714285715	0.07364507364507364
