enh_chrom	enh_start	enh_end	sig_connect	in_same_tad	target_gene	gtex_tpm	hk	lof_intol	essential	rel_entropy	enh_rel_entropy	phastcons_overlap	tisspec_enh	enh_length	tissue
chr1	4763400	4763600	1	1	ENSG00000069424	153.1	0.0	0.0	0.0	0.16744430973489424	1.0	0	1	200	brain_prefrontal_cortex
chr1	4765600	4766800	1	1	ENSG00000069424	153.1	0.0	0.0	0.0	0.16744430973489424	0.6989700043360187	20	1	1200	brain_prefrontal_cortex
chr1	4768600	4771200	1	1	ENSG00000069424	153.1	0.0	0.0	0.0	0.16744430973489424	1.0	144	1	2600	brain_prefrontal_cortex
chr1	4772800	4774000	1	1	ENSG00000069424	153.1	0.0	0.0	0.0	0.16744430973489424	0.6989700043360187	0	1	1200	brain_prefrontal_cortex
chr1	4780600	4781600	1	1	ENSG00000069424	153.1	0.0	0.0	0.0	0.16744430973489424	0.6989700043360187	0	1	1000	brain_prefrontal_cortex
chr1	4784200	4784400	1	1	ENSG00000069424	153.1	0.0	0.0	0.0	0.16744430973489424	1.0	0	1	200	brain_prefrontal_cortex
chr1	4784800	4785600	1	1	ENSG00000069424	153.1	0.0	0.0	0.0	0.16744430973489424	1.0	0	1	800	brain_prefrontal_cortex
chr1	4786600	4787800	1	1	ENSG00000069424	153.1	0.0	0.0	0.0	0.16744430973489424	1.0	0	1	1200	brain_prefrontal_cortex
chr1	4789000	4790400	1	1	ENSG00000069424	153.1	0.0	0.0	0.0	0.16744430973489424	0.6989700043360187	24	1	1400	brain_prefrontal_cortex
chr1	4792600	4796400	1	1	ENSG00000069424	153.1	0.0	0.0	0.0	0.16744430973489424	1.0	151	1	3800	brain_prefrontal_cortex
chr1	4799200	4800200	1	1	ENSG00000069424	153.1	0.0	0.0	0.0	0.16744430973489424	1.0	187	1	1000	brain_prefrontal_cortex
chr1	8042600	8043000	1	1	ENSG00000162426	7.7	0.0	0.0	0.0	0.11791702662118138	0.5228787452803376	0	0	400	brain_prefrontal_cortex
chr1	8050600	8050800	1	1	ENSG00000162426	7.7	0.0	0.0	0.0	0.11791702662118138	0.6989700043360187	0	1	200	brain_prefrontal_cortex
chr1	8065000	8065200	1	1	ENSG00000162426	7.7	0.0	0.0	0.0	0.11791702662118138	0.2218487496163564	160	0	200	brain_prefrontal_cortex
chr1	8065400	8065600	1	1	ENSG00000162426	7.7	0.0	0.0	0.0	0.11791702662118138	0.2218487496163564	0	0	200	brain_prefrontal_cortex
chr1	8075000	8077200	1	1	ENSG00000162426	7.7	0.0	0.0	0.0	0.11791702662118138	0.6989700043360187	432	1	2200	brain_prefrontal_cortex
chr1	8078800	8079800	1	1	ENSG00000162426	7.7	0.0	0.0	0.0	0.11791702662118138	0.30102999566398103	15	0	1000	brain_prefrontal_cortex
