chrom	start	end	target_gene	tss_start	tss_end	gene_length	pancreas	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	860259	879955	ENSG00000187634	860258	860259	19696	1.1	1	0.12350126280626375	0.0	0.0	1.28	0.0	0.0		0.0				
chr1	879583	894689	ENSG00000188976	879582	879583	15106	14.7	1	0.02813805755405806	1.0	0.0	1.327	1.0	0.0		0.0				
chr1	895966	901095	ENSG00000187961	895965	895966	5129	2.1	1	0.03296185270328346	0.0	0.0	1.259	0.0	0.0		0.0				
chr1	901876	911245	ENSG00000187583	901875	901876	9369	0.5	0	0.15014128255136114	0.0	0.0	1.124	0.0	0.0		0.0				
chr1	910578	917497	ENSG00000187642	910577	910578	6919	0.0	0	0.753719942899538	0.0	0.0	1.686	0.0	0.0		0.0				
chr1	934341	935552	ENSG00000188290	934340	934341	1211	1.9	1	0.05494124918339003	0.0	0.0	1.947	0.0	0.0		0.0				
chr1	948802	949920	ENSG00000187608	948801	948802	1118	6.1	1	0.0577807157613388	0.0	0.0	1.691	0.0	0.0		0.0				
chr1	955502	991496	ENSG00000188157	955501	955502	35994	11.9	1	0.07662163598284799	0.0	0.0	0.435	0.0	0.0		0.0				
chr1	1006345	1009687	ENSG00000237330	1006344	1006345	3342	0.0	0	0.6116394671613088	0.0	0.0	1.867	0.0	0.0		0.0				
chr1	1017197	1051741	ENSG00000131591	1017196	1017197	34544	1.4	1	0.0350843569310746	0.0	0.0	1.302	0.0	0.0		0.0				
chr1	1109263	1133315	ENSG00000162571	1109262	1109263	24052	0.1	0	0.4341804336342429	0.0	0.0	1.132	0.0	0.0		0.0				
chr1	1138887	1142071	ENSG00000186891	1138886	1138887	3184	0.1	0	0.15341014613203435	0.0	0.0	1.88	0.0	0.0		0.0				
chr1	1146705	1149518	ENSG00000186827	1146704	1146705	2813	0.5	0	0.14094498788800489	0.0	0.0	1.322	0.0	0.0		0.0				
chr1	1152287	1167411	ENSG00000078808	1152286	1152287	15124	39.4	1	0.02301323236009233	1.0	0.0	0.764	0.0	0.0		0.0				
chr1	1167628	1170421	ENSG00000176022	1167627	1167628	2793	4.8	1	0.015341059322390669	1.0	0.0	1.425	0.0	0.0		0.0				
chr1	1177825	1182102	ENSG00000184163	1177824	1177825	4277	0.0	0	0.3213146458159855	0.0	0.0	1.64	0.0	0.0		0.0				
