chrom	start	end	target_gene	tss_start	tss_end	gene_length	small_intestine	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	9352938	9429591	ENSG00000171621	9352937	9352938	76653	25.8	1	0.08178002888575657	0.0	0.0	0.594	0.0	76.0	0.4922567694723311	23.0	31180.0	1523.0	0.3026315789473684	0.048845413726747916
chr1	16573333	16678949	ENSG00000037637	16573332	16573333	105616	10.2	1	0.013987202434530341	1.0	1.0	0.274	0.0	16.0	0.4502620952347673	4.0	5216.0	1852.0	0.25	0.35506134969325154
chr1	16679069	16724640	ENSG00000055070	16679068	16679069	45571	45.7	1	0.025758478194814804	1.0	0.0	0.672	0.0	16.0	0.4502620952347673	4.0	5216.0	1852.0	0.25	0.35506134969325154
chr1	19665266	19812066	ENSG00000077549	19665265	19665266	146800	32.6	1	0.16963323404242808	1.0	0.0	0.379	0.0	75.0	0.4691621173151421	21.0	25577.0	1849.0	0.28	0.07229151190522735
chr1	19923476	19956314	ENSG00000173436	19923475	19923476	32838	5.4	1	0.04258459524331211	1.0	0.0	0.584	0.0	138.0	0.5287036691730651	53.0	51818.0	4542.0	0.38405797101449274	0.08765293913311976
chr1	20512577	20522541	ENSG00000162543	20512576	20512577	9964	1.8	1	0.10840065994933924	0.0	0.0	1.129	0.0	18.0	0.7148714737718599	12.0	5775.0	798.0	0.6666666666666666	0.13818181818181818
chr1	20617411	20681387	ENSG00000158816	20617410	20617411	63976	0.0	0	0.8346636346178993	0.0	0.0	1.272	0.0	18.0	0.7148714737718599	12.0	5775.0	798.0	0.6666666666666666	0.13818181818181818
chr1	23410515	23504301	ENSG00000169641	23410514	23410515	93786	1.0	0	0.054323145428416084	0.0	0.0	0.402	0.0	46.0	0.5956948441193481	22.0	16105.0	1391.0	0.4782608695652174	0.08637069233157404
chr1	23516992	23521222	ENSG00000179546	23516991	23516992	4230	1.1	1	0.6535360832378236	0.0	0.0	1.296	0.0	46.0	0.5956948441193481	22.0	16105.0	1391.0	0.4782608695652174	0.08637069233157404
chr1	24480646	24514449	ENSG00000185436	24480645	24480646	33803	5.3	1	0.09427250551235962	0.0	0.0	0.763	0.0	42.0	0.7675895324463007	29.0	16751.0	1035.0	0.6904761904761905	0.06178735597874754
chr1	24645811	24690972	ENSG00000158055	24645810	24645811	45161	0.0	0	0.8346636346178993	0.0	1.0	0.277	0.0	42.0	0.7675895324463007	29.0	16751.0	1035.0	0.6904761904761905	0.06178735597874754
chr1	24683488	24743424	ENSG00000001460	24683487	24683488	59936	3.6	1	0.0572567126063331	0.0	0.0	1.339	0.0	42.0	0.7675895324463007	29.0	16751.0	1035.0	0.6904761904761905	0.06178735597874754
chr1	24742283	24799466	ENSG00000001461	24742282	24742283	57183	9.0	1	0.11992147565712866	0.0	0.0	0.844	0.0	23.0	0.7007075424342897	16.0	8636.0	379.0	0.6956521739130435	0.04388605836035202
chr1	24829386	24867530	ENSG00000117602	24829385	24829386	38144	5.3	1	0.07967952413474128	0.0	0.0	1.313	0.0	32.0	0.6577237881349445	18.0	12167.0	397.0	0.5625	0.032629243034437413
chr1	24882601	24935819	ENSG00000184454	24882600	24882601	53218	0.7	0	0.4583003177717441	0.0	0.0	1.756	0.0	24.0	0.6547870038419041	13.0	9281.0	229.0	0.5416666666666666	0.02467406529468807
chr1	26605666	26608007	ENSG00000142669	26605665	26605666	2341	142.1	1	0.03667100237670372	0.0	0.0	1.059	0.0	35.0	0.725697921802063	25.0	11841.0	1423.0	0.7142857142857143	0.12017566083945613
chr1	26607818	26644854	ENSG00000158062	26607817	26607818	37036	7.4	1	0.0418219913578769	0.0	0.0	1.142	0.0	35.0	0.725697921802063	25.0	11841.0	1423.0	0.7142857142857143	0.12017566083945613
chr1	26644447	26647014	ENSG00000169442	26644446	26644447	2567	260.3	1	0.2803848991164801	0.0	0.0	1.698	0.0	35.0	0.725697921802063	25.0	11841.0	1423.0	0.7142857142857143	0.12017566083945613
chr1	26648349	26680621	ENSG00000176092	26648348	26648349	32272	5.8	1	0.4308660655052658	0.0	0.0	0.793	0.0	35.0	0.725697921802063	25.0	11841.0	1423.0	0.7142857142857143	0.12017566083945613
chr1	26688124	26701013	ENSG00000176083	26688123	26688124	12889	0.2	0	0.22704187255411115	0.0	0.0	1.34	0.0	35.0	0.725697921802063	25.0	11841.0	1423.0	0.7142857142857143	0.12017566083945613
chr1	27022523	27108595	ENSG00000117713	27022522	27022523	86072	16.8	1	0.011762782971970524	0.0	1.0	0.071	0.0	63.0	0.419748673740234	12.0	16616.0	5206.0	0.19047619047619047	0.3133124699085219
chr1	27113962	27124889	ENSG00000060642	27113961	27113962	10927	7.0	1	0.03376156148995752	0.0	0.0	1.238	1.0	61.0	0.4009166330135195	10.0	17355.0	5751.0	0.16393442622950818	0.3313742437337943
