chrom	start	end	target_gene	tss_start	tss_end	gene_length	brain_prefrontal_cortex	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	8377885	8404227	ENSG00000162426	8377884	8377885	26342	7.7	1	0.11791702662118138	0.0	0.0	0.745	0.0	21.0	0.6216490806440425	10.0	24600.0	2670.0	0.47619047619047616	0.10853658536585366
chr1	8412456	8877702	ENSG00000142599	8412455	8412456	465246	30.4	1	0.05904072753930298	0.0	1.0	0.12	0.0	21.0	0.6216490806440425	10.0	24600.0	2670.0	0.47619047619047616	0.10853658536585366
chr1	8921060	8939308	ENSG00000074800	8921059	8921060	18248	497.3	1	0.01458383680138749	0.0	0.0	0.864	1.0	58.0	0.6382720721441784	30.0	65200.0	7889.0	0.5172413793103449	0.12099693251533743
chr1	9294833	9331396	ENSG00000049239	9294832	9294833	36563	3.8	1	0.11535779670473015	0.0	0.0	0.941	0.0	47.0	0.6239206534496986	24.0	43000.0	3326.0	0.5106382978723404	0.07734883720930233
chr1	9352938	9429591	ENSG00000171621	9352937	9352938	76653	3.7	1	0.08178002888575657	0.0	0.0	0.594	0.0	47.0	0.6239206534496986	24.0	43000.0	3326.0	0.5106382978723404	0.07734883720930233
chr1	9599540	9645237	ENSG00000171612	9599539	9599540	45697	9.1	1	0.1096472926809236	0.0	0.0	0.825	0.0	47.0	0.6239206534496986	24.0	43000.0	3326.0	0.5106382978723404	0.07734883720930233
chr1	9711789	9789172	ENSG00000171608	9711788	9711789	77383	5.4	1	0.15767955545172044	0.0	1.0	0.196	0.0	16.0	0.7024735947860492	9.0	15800.0	660.0	0.5625	0.04177215189873418
chr1	9789083	9884584	ENSG00000171603	9789082	9789083	95501	165.4	1	0.10281529927715907	0.0	1.0	0.308	0.0	16.0	0.7024735947860492	9.0	15800.0	660.0	0.5625	0.04177215189873418
chr1	9982172	10003465	ENSG00000162441	9982171	9982172	21293	12.3	1	0.01610787477627696	0.0	0.0	1.14	0.0	21.0	0.5265031044429568	9.0	20400.0	1090.0	0.42857142857142855	0.053431372549019605
chr1	10003485	10045559	ENSG00000173614	10003484	10003485	42074	3.0	1	0.03954068247985031	0.0	0.0	0.877	0.0	21.0	0.5265031044429568	9.0	20400.0	1090.0	0.42857142857142855	0.053431372549019605
chr1	10057263	10076078	ENSG00000162444	10057262	10057263	18815	4.8	1	0.18797226467066155	0.0	0.0	0.732	0.0	21.0	0.5265031044429568	9.0	20400.0	1090.0	0.42857142857142855	0.053431372549019605
