enh_chrom	enh_start	enh_end	target_gene	gtex_tpm	hk	lof_intol	essential	rel_entropy	enh_rel_entropy	enh_length	phastcons_overlap	tisspec_enh	tissue
chr1	14430800	14431000	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	1.0	200	0	1	ovary
chr1	14467200	14468400	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	0.2218487496163564	1200	206	0	ovary
chr1	14468800	14469800	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	0.2218487496163564	1000	283	0	ovary
chr1	14569200	14570000	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	1.0	800	0	1	ovary
chr1	14580800	14581000	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	1.0	200	13	1	ovary
chr1	14585400	14586800	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	0.5228787452803376	1400	64	0	ovary
chr1	14607000	14607800	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	0.6989700043360187	800	0	1	ovary
chr1	14631200	14631400	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	1.0	200	29	1	ovary
chr1	14632400	14633200	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	1.0	800	99	1	ovary
chr1	14692000	14693800	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	0.6989700043360187	1800	191	1	ovary
chr1	14763800	14764200	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	1.0	400	125	1	ovary
chr1	14808200	14808600	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	0.6989700043360187	400	0	1	ovary
chr1	14813200	14814400	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	0.6989700043360187	1200	154	1	ovary
chr1	14821000	14821200	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	1.0	200	0	1	ovary
chr1	14824600	14825800	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	1.0	1200	6	1	ovary
chr1	14837400	14837600	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	1.0	200	0	1	ovary
chr1	14838200	14838800	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	1.0	600	151	1	ovary
chr1	14849400	14849800	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	1.0	400	74	1	ovary
chr1	14924600	14924800	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	1.0	200	0	1	ovary
chr1	14928800	14929000	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	0.6989700043360187	200	164	1	ovary
chr1	14975200	14975400	ENSG00000189337	16.9	0.0	0.0	0.0	0.16572770054075014	0.5228787452803376	200	0	0	ovary
chr1	23425400	23425600	ENSG00000169641	0.5	0.0	0.0	0.0	0.054323145428416084	0.5228787452803376	200	3	0	ovary
chr1	23438200	23439000	ENSG00000169641	0.5	0.0	0.0	0.0	0.054323145428416084	0.6989700043360187	800	62	1	ovary
chr1	23441000	23441400	ENSG00000169641	0.5	0.0	0.0	0.0	0.054323145428416084	1.0	400	0	1	ovary
chr1	23446200	23447000	ENSG00000169641	0.5	0.0	0.0	0.0	0.054323145428416084	0.3979400086720376	800	0	0	ovary
chr1	23448800	23450800	ENSG00000169641	0.5	0.0	0.0	0.0	0.054323145428416084	0.6989700043360187	2000	354	1	ovary
chr1	23452600	23453000	ENSG00000169641	0.5	0.0	0.0	0.0	0.054323145428416084	1.0	400	39	1	ovary
chr1	23465800	23466000	ENSG00000169641	0.5	0.0	0.0	0.0	0.054323145428416084	1.0	200	0	1	ovary
chr1	23466800	23468200	ENSG00000169641	0.5	0.0	0.0	0.0	0.054323145428416084	0.3979400086720376	1400	0	0	ovary
chr1	23483600	23484000	ENSG00000169641	0.5	0.0	0.0	0.0	0.054323145428416084	0.6989700043360187	400	0	1	ovary
