chrom	start	end	target_gene	tss_start	tss_end	gene_length	heart_left_ventricle	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	6845383	7829766	ENSG00000171735	6845382	6845383	984383	54.9	1	0.033377414405762314	1.0	1.0	0.172	0.0	16.0	0.5072079219072759	7.0	6482.0	1694.0	0.4375	0.2613390928725702
chr1	8377885	8404227	ENSG00000162426	8377884	8377885	26342	1.1	1	0.11791702662118138	0.0	0.0	0.745	0.0	163.0	0.33276126136201284	22.0	64552.0	5834.0	0.13496932515337423	0.09037675052670716
chr1	8412456	8877702	ENSG00000142599	8412455	8412456	465246	32.2	1	0.05904072753930298	0.0	1.0	0.12	0.0	163.0	0.33276126136201284	22.0	64552.0	5834.0	0.13496932515337423	0.09037675052670716
chr1	9352938	9429591	ENSG00000171621	9352937	9352938	76653	11.3	1	0.08178002888575657	0.0	0.0	0.594	0.0	37.0	0.35233166073140576	6.0	18269.0	1900.0	0.16216216216216217	0.10400131370080465
chr1	9599540	9645237	ENSG00000171612	9599539	9599540	45697	2.8	1	0.1096472926809236	0.0	0.0	0.825	0.0	36.0	0.3470674543625929	6.0	17920.0	1884.0	0.16666666666666666	0.10513392857142857
chr1	9982172	10003465	ENSG00000162441	9982171	9982172	21293	11.4	1	0.01610787477627696	0.0	0.0	1.14	0.0	36.0	0.5589047588388855	14.0	12866.0	754.0	0.3888888888888889	0.05860407274988341
chr1	10003485	10045559	ENSG00000173614	10003484	10003485	42074	4.4	1	0.03954068247985031	0.0	0.0	0.877	0.0	36.0	0.5589047588388855	14.0	12866.0	754.0	0.3888888888888889	0.05860407274988341
chr1	10057263	10076078	ENSG00000162444	10057262	10057263	18815	27.5	1	0.18797226467066155	0.0	0.0	0.732	0.0	65.0	0.5121094264598526	21.0	24900.0	2100.0	0.3230769230769231	0.08433734939759036
chr1	10092889	10241297	ENSG00000130939	10092888	10092889	148408	6.6	1	0.05707837884751232	1.0	1.0	0.157	0.0	63.0	0.5103858285530806	20.0	23948.0	2046.0	0.31746031746031744	0.08543510940370803
chr1	10270862	10441661	ENSG00000054523	10270861	10270862	170799	10.6	1	0.2099452749424318	0.0	1.0	0.171	0.0	50.0	0.484080382022904	15.0	18793.0	1490.0	0.3	0.07928484010003725
chr1	11539222	11597641	ENSG00000204624	11539221	11539222	58419	0.0	0	0.4711625286950651	0.0	0.0	0.548	0.0	5.0	0.4326362088878185	1.0	1170.0	0.0	0.2	0.0
chr1	11708423	11715842	ENSG00000116661	11708422	11708423	7419	6.7	1	0.3231469622276413	0.0	0.0	0.997	0.0	5.0	0.4326362088878185	1.0	1170.0	0.0	0.2	0.0
chr1	12227059	12269285	ENSG00000028137	12227058	12227059	42226	6.3	1	0.10564271959515432	0.0	0.0	0.476	0.0	24.0	0.3728792906314422	3.0	12449.0	110.0	0.125	0.008836051088440839
chr1	12290123	12572099	ENSG00000048707	12290122	12290123	281976	6.1	1	0.01790190155322375	0.0	1.0	0.332	1.0	24.0	0.3728792906314422	3.0	12449.0	110.0	0.125	0.008836051088440839
chr1	12627938	12677737	ENSG00000162496	12627937	12627938	49799	0.2	0	0.10403015526466948	0.0	0.0	0.674	0.0	94.0	0.3813898202589204	23.0	39493.0	5111.0	0.24468085106382978	0.12941533942724026
chr1	12704565	12727097	ENSG00000204518	12704564	12704565	22532	0.0	0	0.6941127267919259	0.0	0.0	1.679	0.0	94.0	0.3813898202589204	23.0	39493.0	5111.0	0.24468085106382978	0.12941533942724026
chr1	14925199	15444539	ENSG00000189337	14925198	14925199	519340	3.7	1	0.16572770054075014	0.0	0.0	0.381	0.0	4.0	0.4885853821386954	0.0	874.0	74.0	0.0	0.08466819221967964
chr1	16558194	16563657	ENSG00000132881	16558193	16558194	5463	2.0	1	0.04008951326617734	0.0	0.0	1.626	0.0	21.0	0.5043411566780148	6.0	8534.0	2736.0	0.2857142857142857	0.3205999531286618
