chrom	start	end	target_gene	tss_start	tss_end	gene_length	liver	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	7831328	7841492	ENSG00000049245	7831327	7831328	10164	14.6	1	0.014368183915860644	1.0	0.0	1.269	0.0	5.0	0.38770950418256134	1.0	2800.0	49.0	0.2	0.0175
chr1	7844379	7905237	ENSG00000049246	7844378	7844379	60858	6.2	1	0.03256398208300736	0.0	0.0	0.841	0.0	5.0	0.38770950418256134	1.0	2800.0	49.0	0.2	0.0175
chr1	7903142	7913572	ENSG00000049247	7903141	7903142	10430	0.0	0	0.2763190691342407	0.0	0.0	1.271	0.0	5.0	0.38770950418256134	1.0	2800.0	49.0	0.2	0.0175
chr1	8377885	8404227	ENSG00000162426	8377884	8377885	26342	0.1	0	0.11791702662118138	0.0	0.0	0.745	0.0	31.0	0.6676002822865557	18.0	41400.0	3327.0	0.5806451612903226	0.0803623188405797
chr1	9352938	9429591	ENSG00000171621	9352937	9352938	76653	20.6	1	0.08178002888575657	0.0	0.0	0.594	0.0	37.0	0.6514141265908856	20.0	32000.0	2204.0	0.5405405405405406	0.068875
chr1	9599540	9645237	ENSG00000171612	9599539	9599540	45697	5.0	1	0.1096472926809236	0.0	0.0	0.825	0.0	36.0	0.6417311856628546	19.0	31600.0	1804.0	0.5277777777777778	0.05708860759493671
chr1	9711789	9789172	ENSG00000171608	9711788	9711789	77383	1.6	1	0.15767955545172044	0.0	1.0	0.196	0.0	9.0	0.6295051387610076	4.0	6000.0	1042.0	0.4444444444444444	0.17366666666666666
chr1	9789083	9884584	ENSG00000171603	9789082	9789083	95501	2.7	1	0.10281529927715907	0.0	1.0	0.308	0.0	9.0	0.6295051387610076	4.0	6000.0	1042.0	0.4444444444444444	0.17366666666666666
chr1	9908333	9970394	ENSG00000178585	9908332	9908333	62061	6.1	1	0.028887984494568062	1.0	0.0	1.383	0.0	5.0	0.4387640052032225	2.0	4200.0	310.0	0.4	0.07380952380952381
chr1	9982172	10003465	ENSG00000162441	9982171	9982172	21293	6.7	1	0.01610787477627696	0.0	0.0	1.14	0.0	14.0	0.5405078716791932	6.0	13400.0	831.0	0.42857142857142855	0.06201492537313433
chr1	10003485	10045559	ENSG00000173614	10003484	10003485	42074	3.1	1	0.03954068247985031	0.0	0.0	0.877	0.0	14.0	0.5405078716791932	6.0	13400.0	831.0	0.42857142857142855	0.06201492537313433
chr1	10057263	10076078	ENSG00000162444	10057262	10057263	18815	2.9	1	0.18797226467066155	0.0	0.0	0.732	0.0	16.0	0.5383042308793362	7.0	16000.0	973.0	0.4375	0.0608125
chr1	10092889	10241297	ENSG00000130939	10092888	10092889	148408	3.0	1	0.05707837884751232	1.0	1.0	0.157	0.0	16.0	0.5383042308793362	7.0	16000.0	973.0	0.4375	0.0608125
chr1	10270862	10441661	ENSG00000054523	10270861	10270862	170799	4.9	1	0.2099452749424318	0.0	1.0	0.171	0.0	6.0	0.5314041656882345	3.0	8000.0	593.0	0.5	0.074125
chr1	10696660	10856707	ENSG00000130940	10696659	10696660	160047	1.1	1	0.21139872517974895	0.0	1.0	0.152	0.0	39.0	0.7883784941879642	30.0	50000.0	12464.0	0.7692307692307693	0.24928
chr1	12227059	12269285	ENSG00000028137	12227058	12227059	42226	6.8	1	0.10564271959515432	0.0	0.0	0.476	0.0	14.0	0.532072206530765	8.0	11400.0	430.0	0.5714285714285714	0.037719298245614034
chr1	12290123	12572099	ENSG00000048707	12290122	12290123	281976	3.3	1	0.01790190155322375	0.0	1.0	0.332	1.0	14.0	0.532072206530765	8.0	11400.0	430.0	0.5714285714285714	0.037719298245614034
chr1	12627938	12677737	ENSG00000162496	12627937	12627938	49799	0.3	0	0.10403015526466948	0.0	0.0	0.674	0.0	27.0	0.5892754502823649	13.0	49800.0	7482.0	0.48148148148148145	0.15024096385542168
